method,control_index,control_r,alpha,one_minus_alpha,gamma,graph_family,n,p,graph_seed,num_initializations,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,final_objective_loss
CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,0,1,0.7142857142857143,0.6942857142857144,0.7142857142857143,0.12000000000000001,2.0
CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,1,1,0.6679999999999999,0.6445000000000001,0.6679999999999999,0.01,3.3200000000000003
CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,2,1,0.604,0.5720000000000001,0.604,0.08,3.96
CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,3,1,0.6177777777777778,0.6027777777777777,0.6177777777777778,0.04,3.44
CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,4,1,0.6950000000000001,0.6965000000000001,0.6980000000000001,0.07,3.05
CVaR,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,0,1,0.7485714285714286,0.7092857142857143,0.7485714285714286,0.14,0.7199999999999999
CVaR,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,1,1,0.6530000000000001,0.6520000000000001,0.6530000000000001,0.02,1.9599999999999986
CVaR,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,2,1,0.6119999999999999,0.5914999999999999,0.6119999999999999,0.15000000000000002,1.9799999999999982
CVaR,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,3,1,0.6377777777777778,0.616111111111111,0.6377777777777778,0.08,1.6199999999999988
CVaR,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,4,1,0.6950000000000001,0.6970000000000001,0.6990000000000001,0.05,1.419999999999999
CVaR,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,0,1,0.7257142857142858,0.6742857142857143,0.7257142857142858,0.12,0.40000000000000013
CVaR,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,1,1,0.655,0.641,0.655,0.05,0.7500000000000001
CVaR,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,2,1,0.562,0.5625,0.5630000000000001,0.05,1.6999999999999995
CVaR,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,3,1,0.6233333333333333,0.6055555555555555,0.6233333333333333,0.06,0.7000000000000001
CVaR,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,4,1,0.712,0.7235,0.7350000000000001,0.01,1.0999999999999999
CVaR,3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,0,1,0.7214285714285715,0.6742857142857144,0.7214285714285715,0.16999999999999998,0.0
CVaR,3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,1,1,0.6050000000000001,0.617,0.629,0.02,0.9000000000000006
CVaR,3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,2,1,0.618,0.5845,0.618,0.12000000000000001,0.0
CVaR,3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,3,1,0.6144444444444443,0.605,0.6144444444444443,0.03,0.7000000000000001
CVaR,3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,4,1,0.7210000000000001,0.7100000000000001,0.7210000000000001,0.08,0.20000000000000012
QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,0,1,0.7142857142857143,0.6942857142857144,0.7142857142857143,0.12000000000000001,2.0
QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,1,1,0.6679999999999999,0.6445000000000001,0.6679999999999999,0.01,3.3200000000000003
QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,2,1,0.604,0.5720000000000001,0.604,0.08,3.96
QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,3,1,0.6177777777777778,0.6027777777777777,0.6177777777777778,0.04,3.44
QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,4,1,0.6950000000000001,0.6965000000000001,0.6980000000000001,0.07,3.05
