task_id,method,control_index,control_r,alpha,one_minus_alpha,gamma,graph_family,n,p,graph_seed,init_id,init_seed,device_seed,initial_parameters,final_parameters,final_objective_loss,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,best_ratio_so_far,final_optimal_mass,shots,steps,tail_window,optimizer_learning_rate,optimizer_learning_rate_decay_power,optimizer_learning_rate_decay_offset,optimizer_momentum,optimizer_gradient_clip,optimizer_tilt_learning_rate_penalty,simulator
CVaR|r=-0|erdos_renyi|g=0|init=0,CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,0,0,20262429,910000,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.969740308670575, 0.6165197978509659, 2.9186316866763597, 4.201633059269017]",2.0,0.7142857142857143,0.6942857142857144,0.7142857142857143,1.0,0.12000000000000001,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=-0|erdos_renyi|g=0|init=0,QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,0,0,20262429,910000,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.969740308670575, 0.6165197978509659, 2.9186316866763597, 4.201633059269017]",2.0,0.7142857142857143,0.6942857142857144,0.7142857142857143,1.0,0.12000000000000001,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.301029995664|erdos_renyi|g=0|init=0,CVaR,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,0,0,20262429,910100,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.9661792139398675, 0.5790227710288084, 2.9284931558053198, 4.193520205772025]",0.7199999999999999,0.7485714285714286,0.7092857142857143,0.7485714285714286,1.0,0.14,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.301029995664|erdos_renyi|g=0|init=0,QTL,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,0,0,20262429,910100,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.993921743709046, 0.5558629790359229, 2.9458421119261993, 4.1850889999784195]",1.0385469542125714,0.7442857142857141,0.7135714285714285,0.7442857142857141,1.0,0.15000000000000002,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.698970004336|erdos_renyi|g=0|init=0,CVaR,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,0,0,20262429,910200,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.9496019388740584, 0.5473746319784586, 2.929164302367537, 4.1635112368658245]",0.40000000000000013,0.7257142857142858,0.6742857142857143,0.7257142857142858,1.0,0.12,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.698970004336|erdos_renyi|g=0|init=0,QTL,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,0,0,20262429,910200,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.984865882754327, 0.5940628729964115, 2.94897075073771, 4.135640744863193]",0.658657726646286,0.7157142857142856,0.665,0.7157142857142856,1.0,0.14,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=1|erdos_renyi|g=0|init=0,CVaR,3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,0,0,20262429,910300,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.9976018124377832, 0.5580926159958752, 2.950680774853647, 4.181353966845901]",0.0,0.7214285714285715,0.6742857142857144,0.7214285714285715,1.0,0.16999999999999998,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=1|erdos_renyi|g=0|init=0,QTL,3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,0,0,20262429,910300,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.9868603092367714, 0.5981437239379618, 2.959291437718832, 4.149802148807785]",0.4349304428746598,0.7214285714285715,0.6671428571428571,0.7214285714285715,1.0,0.17,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=-0|erdos_renyi|g=1|init=0,CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,1,0,20262429,920000,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.0349476942589764, 0.5728701261087862, 2.8698995307327735, 4.151917810854415]",3.3200000000000003,0.6679999999999999,0.6445000000000001,0.6679999999999999,1.0,0.01,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=-0|erdos_renyi|g=1|init=0,QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,1,0,20262429,920000,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.0349476942589764, 0.5728701261087862, 2.8698995307327735, 4.151917810854415]",3.3200000000000003,0.6679999999999999,0.6445000000000001,0.6679999999999999,1.0,0.01,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
