task_id,record_type,strategy,alpha,one_minus_alpha,alpha_start,alpha_end,schedule,graph_family,n,p,graph_seed,init_id,init_seed,device_seed,initial_parameters,final_parameters,final_cvar_loss,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,best_ratio_so_far,final_optimal_mass,num_init_points,graph_count,mean_peak_ratio,sem_peak_ratio,mean_tail_ratio,sem_tail_ratio,mean_final_ratio,sem_final_ratio,mean_final_cvar_loss,sem_final_cvar_loss,mean_optimal_mass,method,parameter_name,fit_model,fit_formula,a0,a1,a2,a3,weighted_sse,peak_value,tail_value,experiment,shots,steps,number_of_initializations,alpha_grid,optimizer,paired_initial_parameters,paired_device_seeds,identical_optimizer_settings,initialization_base_seed,optimizer_tail_window,optimizer_learning_rate,optimizer_learning_rate_decay_power,optimizer_learning_rate_decay_offset,optimizer_momentum,optimizer_gradient_clip,optimizer_simulator,parameter_mapping,b0,b1,alpha_gamma_relation,peak_parameter,left_curvature,right_curvature,baseline_value
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.1|0,restart,ascending,0.1,0.9,1.0,0.1,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,0.0,20260726.0,730000.0,"[2.226844302927403, 2.7300075029351913, 1.8397074133679914, 2.174662247612199]","[2.0819816207259336, 3.0762425760088905, 1.5884856128202784, 2.447205619657689]",0.7579999999999997,0.6154000000000001,0.61532,0.6263428571428572,1.0,0.0242,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.1|1,restart,ascending,0.1,0.9,1.0,0.1,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,1.0,20260727.0,730001.0,"[0.4756712476396966, 3.0965837239683074, 2.646028416497059, 1.5012931115137529]","[0.3784248015855711, 3.040800052220348, 2.124190601530943, 2.2010687273156275]",0.0,0.8488285714285714,0.8507428571428571,0.8534857142857143,1.0,0.2988,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.1|2,restart,ascending,0.1,0.9,1.0,0.1,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,2.0,20260728.0,730002.0,"[1.9093349559311228, 0.014936831693126611, 0.4604455897891393, 2.9643566316254946]","[2.008089409213693, 0.03623428099366571, 0.789716357111993, 3.2576615950881043]",0.7339999999999998,0.6171142857142858,0.6137885714285715,0.6232857142857142,1.0,0.0266,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.1|3,restart,ascending,0.1,0.9,1.0,0.1,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,3.0,20260729.0,730003.0,"[0.09601236448568767, 0.01368452041539864, 2.124727888032644, 0.7164215210760676]","[0.5299541172654968, 6.072683716568252, 1.8612653429561008, 0.950509456701169]",0.0,0.8663714285714287,0.8703457142857143,0.8769428571428571,1.0,0.3103999999999999,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.1|4,restart,ascending,0.1,0.9,1.0,0.1,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,4.0,20260730.0,730004.0,"[3.0741951881358056, 2.9261393128026922, 2.13612737908406, 0.2423724789360562]","[2.8795206585172752, 2.5417174751119416, 2.0464892484978425, 0.21120192267144478]",0.0,0.8806285714285715,0.8837399999999999,0.8878285714285715,1.0,0.3614,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.2|0,restart,ascending,0.2,0.8,1.0,0.2,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,0.0,20260726.0,730100.0,"[2.226844302927403, 2.7300075029351913, 1.8397074133679914, 2.174662247612199]","[2.1604827657835344, 2.998060376277629, 1.5917302556800537, 2.4584708089882508]",1.083,0.6171142857142857,0.6157285714285714,0.6242571428571428,1.0,0.0232,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.2|1,restart,ascending,0.2,0.8,1.0,0.2,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,1.0,20260727.0,730101.0,"[0.4756712476396966, 3.0965837239683074, 2.646028416497059, 1.5012931115137529]","[0.39392572413287635, 3.0249920540098527, 2.1164757998954395, 2.2070956444521985]",0.0,0.8522857142857144,0.8535628571428573,0.8576857142857143,1.0,0.3176,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.2|2,restart,ascending,0.2,0.8,1.0,0.2,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,2.0,20260728.0,730102.0,"[1.9093349559311228, 0.014936831693126611, 0.4604455897891393, 2.9643566316254946]","[2.0253714177170146, 0.011418230081178458, 0.8155314932255244, 3.2428624414454985]",1.0679999999999998,0.6173142857142857,0.6159885714285714,0.6234285714285716,1.0,0.0268,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.2|3,restart,ascending,0.2,0.8,1.0,0.2,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,3.0,20260729.0,730103.0,"[0.09601236448568767, 0.01368452041539864, 2.124727888032644, 0.7164215210760676]","[0.546528202424486, 6.0511306773506615, 1.8669011565877192, 0.9396726961758524]",0.0,0.8738857142857144,0.8747485714285714,0.8797428571428572,1.0,0.3434,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.2|4,restart,ascending,0.2,0.8,1.0,0.2,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,4.0,20260730.0,730104.0,"[3.0741951881358056, 2.9261393128026922, 2.13612737908406, 0.2423724789360562]","[2.858014173686016, 2.515327965584028, 2.0772447072305473, 0.22626891792675596]",0.0,0.8831142857142857,0.8829685714285714,0.8896571428571429,1.0,0.3878,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
