,iteration,loss,mean_cut,mean_ratio,best_ratio_step,best_ratio_so_far,best_cut_so_far,optimal_mass,gamma,lr,grad_norm,circuit_evals,shots_used,graph_family,n,p,seed,objective,mode
0,1,7.107421875,7.779296875,0.5186197916666667,0.9333333333333333,0.9333333333333333,14,0.0,,0.06172606375797438,1.6434917290563293,14,14336,erdos_renyi,14,3,0,Expectation,sampled
1,2,7.197265625,7.8916015625,0.5261067708333333,0.9333333333333333,0.9333333333333333,14,0.0,,0.05735522822936679,1.4421193082977681,28,28672,erdos_renyi,14,3,0,Expectation,sampled
2,3,7.208984375,8.0068359375,0.5337890625,0.9333333333333333,0.9333333333333333,14,0.0,,0.05375750759044572,2.0286729163605224,42,43008,erdos_renyi,14,3,0,Expectation,sampled
3,4,6.8203125,8.279296875,0.551953125,1.0,1.0,15,0.001953125,,0.05073089276276016,2.5,56,57344,erdos_renyi,14,3,0,Expectation,sampled
4,5,6.3203125,8.427734375,0.5618489583333334,1.0,1.0,15,0.001953125,,0.0481400490304311,2.5,70,71680,erdos_renyi,14,3,0,Expectation,sampled
5,6,6.119140625,8.8935546875,0.5929036458333333,1.0,1.0,15,0.00390625,,0.04589050319120088,2.4999999999999996,84,86016,erdos_renyi,14,3,0,Expectation,sampled
6,7,5.4921875,9.28515625,0.6190104166666667,1.0,1.0,15,0.0029296875,,0.0439140671199312,2.5,98,100352,erdos_renyi,14,3,0,Expectation,sampled
7,8,4.9560546875,10.1181640625,0.6745442708333333,1.0,1.0,15,0.0068359375,,0.04216014399219075,2.5,112,114688,erdos_renyi,14,3,0,Expectation,sampled
8,9,4.3544921875,10.658203125,0.710546875,1.0,1.0,15,0.0146484375,,0.04059030480903759,2.5,126,129024,erdos_renyi,14,3,0,Expectation,sampled
9,10,3.90625,10.9501953125,0.7300130208333333,1.0,1.0,15,0.0185546875,,0.03917477534832558,2.5,140,143360,erdos_renyi,14,3,0,Expectation,sampled
10,11,3.5126953125,11.5693359375,0.7712890625,1.0,1.0,15,0.0234375,,0.0378900866404636,2.5,154,157696,erdos_renyi,14,3,0,Expectation,sampled
11,12,3.3515625,11.5810546875,0.7720703125,1.0,1.0,15,0.021484375,,0.03671745973566442,2.5,168,172032,erdos_renyi,14,3,0,Expectation,sampled
12,13,3.3046875,11.734375,0.7822916666666667,1.0,1.0,15,0.03125,,0.0356416683383965,2.5,182,186368,erdos_renyi,14,3,0,Expectation,sampled
13,14,3.30078125,11.7265625,0.7817708333333333,1.0,1.0,15,0.021484375,,0.0346502208875103,2.4999999999999996,196,200704,erdos_renyi,14,3,0,Expectation,sampled
14,15,3.15234375,11.8896484375,0.7926432291666666,1.0,1.0,15,0.021484375,,0.03373276128686897,2.5,210,215040,erdos_renyi,14,3,0,Expectation,sampled
15,16,3.0400390625,11.912109375,0.794140625,1.0,1.0,15,0.029296875,,0.032880622468849645,2.5,224,229376,erdos_renyi,14,3,0,Expectation,sampled
16,17,2.9228515625,11.990234375,0.7993489583333333,1.0,1.0,15,0.0390625,,0.03208648880827392,2.5,238,243712,erdos_renyi,14,3,0,Expectation,sampled
17,18,2.7646484375,12.205078125,0.813671875,1.0,1.0,15,0.0400390625,,0.03134413738094823,2.5,252,258048,erdos_renyi,14,3,0,Expectation,sampled
18,19,2.6708984375,12.2314453125,0.8154296875,1.0,1.0,15,0.0595703125,,0.03064823721074824,2.0966228305052854,266,272384,erdos_renyi,14,3,0,Expectation,sampled
19,20,2.6455078125,12.4091796875,0.8272786458333333,1.0,1.0,15,0.0751953125,,0.029994191761820287,2.2687064426749153,280,286720,erdos_renyi,14,3,0,Expectation,sampled
