task_id,method,control_index,control_r,alpha,one_minus_alpha,gamma,graph_family,n,p,graph_seed,init_id,init_seed,device_seed,initial_parameters,final_parameters,final_objective_loss,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,best_ratio_so_far,final_optimal_mass,shots,steps,tail_window,optimizer_learning_rate,optimizer_learning_rate_decay_power,optimizer_learning_rate_decay_offset,optimizer_momentum,optimizer_gradient_clip,optimizer_tilt_learning_rate_penalty,simulator
CVaR|r=-0|erdos_renyi|g=0|init=0,CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,0,0,20262429,910000,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.7388184911279856, 0.8740489947534433, 3.373770713831004, 4.467947553771474]",0.8855999999999999,0.8734857142857143,0.8740657142857143,0.8774,1.0,0.35900000000000004,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=-0|erdos_renyi|g=0|init=0,QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,0,0,20262429,910000,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.7388184911279856, 0.8740489947534433, 3.373770713831004, 4.467947553771474]",0.8855999999999999,0.8734857142857143,0.8740657142857143,0.8774,1.0,0.35900000000000004,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=-0|erdos_renyi|g=0|init=1,CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,0,1,20262430,910001,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]","[4.58313089621601, 3.6176340076170104, 5.332330750450071, 1.009716192822749]",2.6886,0.6159142857142855,0.6207057142857143,0.6254,1.0,0.0242,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=-0|erdos_renyi|g=0|init=1,QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,0,1,20262430,910001,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]","[4.58313089621601, 3.6176340076170104, 5.332330750450071, 1.009716192822749]",2.6886,0.6159142857142855,0.6207057142857143,0.6254,1.0,0.0242,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=-0|erdos_renyi|g=0|init=2,CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,0,2,20262431,910002,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]","[0.29798207159045725, 3.7147178427217504, 1.0931553450363118, 2.888363598816894]",0.7902,0.8871142857142856,0.8898942857142857,0.8935428571428572,1.0,0.387,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=-0|erdos_renyi|g=0|init=2,QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,0,2,20262431,910002,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]","[0.29798207159045725, 3.7147178427217504, 1.0931553450363118, 2.888363598816894]",0.7902,0.8871142857142856,0.8898942857142857,0.8935428571428572,1.0,0.387,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=-0|erdos_renyi|g=0|init=3,CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,0,3,20262432,910003,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]","[4.407811180841365, 2.953076799766134, 3.251243670631291, 2.0977163490977504]",2.677,0.6175714285714287,0.6177285714285714,0.6250857142857144,1.0,0.0262,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=-0|erdos_renyi|g=0|init=3,QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,0,3,20262432,910003,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]","[4.407811180841365, 2.953076799766134, 3.251243670631291, 2.0977163490977504]",2.677,0.6175714285714287,0.6177285714285714,0.6250857142857144,1.0,0.0262,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=-0|erdos_renyi|g=0|init=4,CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,0,4,20262433,910004,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]","[1.5945067946379865, 5.065466508824753, 5.917129513808146, 4.349425662046723]",1.3204,0.8113714285714285,0.80956,0.8147142857142857,1.0,0.20879999999999999,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=-0|erdos_renyi|g=0|init=4,QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,0,4,20262433,910004,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]","[1.5945067946379865, 5.065466508824753, 5.917129513808146, 4.349425662046723]",1.3204,0.8113714285714285,0.80956,0.8147142857142857,1.0,0.20879999999999999,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
