method,control_index,control_r,alpha,one_minus_alpha,gamma,graph_count,mean_final_ratio,sem_final_ratio,mean_tail_ratio,sem_tail_ratio,mean_peak_ratio,sem_peak_ratio,mean_optimal_mass
CVaR,0,-0.0,1.0,0.0,-0.0,5,0.7594659301587302,0.026447614801779196,0.7595173180952381,0.02596361219726823,0.7641830476190477,0.02560024499273361,0.158696
CVaR,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,5,0.7595388190476191,0.02984548147701172,0.7597867365079365,0.029684257097484422,0.7662513015873016,0.030138181551912425,0.195216
CVaR,2,0.1870866433571444,0.65,0.35,0.7483465734285776,5,0.7571856126984127,0.029672115745860077,0.7575788546031746,0.029454850723924828,0.7645382603174603,0.02951140533901492,0.195784
CVaR,3,0.30102999566398114,0.5,0.5,1.2041199826559246,5,0.7554567238095238,0.030337000048661213,0.7563093244444444,0.030095303462750495,0.7637478095238095,0.030125760687935463,0.19404
CVaR,4,0.4559319556497244,0.35,0.65,1.8237278225988975,5,0.7620656507936509,0.0331164587303565,0.7625642133333332,0.03298681404193974,0.7694575619047619,0.032822242017404454,0.18816000000000002
CVaR,5,0.6989700043360187,0.2,0.8,2.795880017344075,5,0.7670306920634922,0.03592138835771271,0.7660842488888889,0.03550932447591371,0.7750036444444445,0.03508818579955647,0.168984
CVaR,6,0.9999999999999998,0.1,0.9,3.999999999999999,5,0.7292380190476191,0.02654187961120316,0.7291293752380953,0.026468277129896352,0.7421364952380952,0.025961395826028636,0.131808
QTL,0,-0.0,1.0,0.0,-0.0,5,0.7594659301587302,0.026447614801779196,0.7595173180952381,0.02596361219726823,0.7641830476190477,0.02560024499273361,0.158696
QTL,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,5,0.7611737015873017,0.03200167791196448,0.761224631111111,0.03204098689932546,0.7659971174603175,0.031886921145970706,0.18951199999999999
QTL,2,0.1870866433571444,0.65,0.35,0.7483465734285776,5,0.7567578031746032,0.03187603475291271,0.756970733968254,0.03188551704983837,0.7622427555555555,0.03152428119462094,0.19439199999999998
QTL,3,0.30102999566398114,0.5,0.5,1.2041199826559246,5,0.7712292063492063,0.0350277472881693,0.7713157574603174,0.03477008203375517,0.7782620952380952,0.034704357129624205,0.21754400000000002
QTL,4,0.4559319556497244,0.35,0.65,1.8237278225988975,5,0.7584416507936508,0.03281176120198234,0.7586454361904762,0.0326089323902775,0.7659743365079364,0.03290359160863989,0.20528
QTL,5,0.6989700043360187,0.2,0.8,2.795880017344075,5,0.768553092063492,0.0343665838509773,0.7673204126984128,0.03422116029329423,0.7764207746031746,0.03454242695809841,0.22368000000000002
QTL,6,0.9999999999999998,0.1,0.9,3.999999999999999,5,0.7553051936507937,0.030931537128105063,0.7545854336507937,0.03064176024366026,0.7636996190476191,0.0312763362973226,0.20684
