graph_family,n,p,seed,objective,num_init_points,final_mean_ratio,peak_mean_ratio,final_optimal_mass
erdos_renyi,8,1,0,Ascending QTL,5,0.73028,0.7386457142857143,0.13768
erdos_renyi,8,1,0,Expectation,5,0.7323485714285713,0.7381942857142858,0.13196000000000002
erdos_renyi,8,1,0,Fixed QTL,5,0.7329485714285715,0.7378457142857143,0.13568
erdos_renyi,8,1,1,Ascending QTL,5,0.727004,0.733792,0.03255999999999999
erdos_renyi,8,1,1,Expectation,5,0.728856,0.734256,0.03116
erdos_renyi,8,1,1,Fixed QTL,5,0.76074,0.765492,0.04192
erdos_renyi,8,1,2,Ascending QTL,5,0.6247960000000001,0.632736,0.09592
erdos_renyi,8,1,2,Expectation,5,0.631652,0.63466,0.08452
erdos_renyi,8,1,2,Fixed QTL,5,0.5953280000000001,0.598336,0.06716
erdos_renyi,8,1,3,Ascending QTL,5,0.6780622222222222,0.6847911111111111,0.061040000000000004
erdos_renyi,8,1,3,Expectation,5,0.6798711111111112,0.6837066666666667,0.05636
erdos_renyi,8,1,3,Fixed QTL,5,0.7138311111111111,0.7202044444444444,0.07676
erdos_renyi,8,1,4,Ascending QTL,5,0.8382120000000001,0.8439719999999999,0.20776000000000003
erdos_renyi,8,1,4,Expectation,5,0.8148960000000001,0.820288,0.16248
erdos_renyi,8,1,4,Fixed QTL,5,0.838436,0.844148,0.20095999999999997
erdos_renyi,8,2,0,Ascending QTL,5,0.76204,0.7665371428571429,0.21456
erdos_renyi,8,2,0,Expectation,5,0.7631028571428572,0.7673028571428572,0.20412
erdos_renyi,8,2,0,Fixed QTL,5,0.7625485714285715,0.7667714285714287,0.21059999999999998
erdos_renyi,8,2,1,Ascending QTL,5,0.7804080000000001,0.7866839999999999,0.07008
erdos_renyi,8,2,1,Expectation,5,0.7861040000000001,0.7884840000000001,0.06364
erdos_renyi,8,2,1,Fixed QTL,5,0.783756,0.787008,0.064
erdos_renyi,8,2,2,Ascending QTL,5,0.6733,0.682396,0.19748
erdos_renyi,8,2,2,Expectation,5,0.677248,0.684164,0.18116000000000002
erdos_renyi,8,2,2,Fixed QTL,5,0.6755639999999999,0.682772,0.19384
erdos_renyi,8,2,3,Ascending QTL,5,0.7240222222222222,0.7276311111111112,0.12996
erdos_renyi,8,2,3,Expectation,5,0.7285555555555556,0.7315733333333333,0.12348
erdos_renyi,8,2,3,Fixed QTL,5,0.7171555555555555,0.7193822222222221,0.12872
erdos_renyi,8,2,4,Ascending QTL,5,0.88574,0.891188,0.35287999999999997
erdos_renyi,8,2,4,Expectation,5,0.826356,0.82996,0.22271999999999997
erdos_renyi,8,2,4,Fixed QTL,5,0.860004,0.864068,0.3264
erdos_renyi,8,3,0,Ascending QTL,5,0.8238742857142858,0.8284971428571429,0.32836000000000004
erdos_renyi,8,3,0,Expectation,5,0.8231485714285715,0.8266914285714286,0.30988
erdos_renyi,8,3,0,Fixed QTL,5,0.8649142857142857,0.8682628571428571,0.37044
erdos_renyi,8,3,1,Ascending QTL,5,0.814864,0.8223520000000001,0.08428
erdos_renyi,8,3,1,Expectation,5,0.8218759999999999,0.8260439999999999,0.07276
erdos_renyi,8,3,1,Fixed QTL,5,0.815084,0.820316,0.08336
erdos_renyi,8,3,2,Ascending QTL,5,0.7477280000000001,0.75616,0.28784
erdos_renyi,8,3,2,Expectation,5,0.752076,0.7570520000000001,0.27183999999999997
erdos_renyi,8,3,2,Fixed QTL,5,0.7458,0.752508,0.27908
erdos_renyi,8,3,3,Ascending QTL,5,0.7312888888888889,0.7397288888888889,0.12536
erdos_renyi,8,3,3,Expectation,5,0.7395066666666666,0.7445511111111112,0.1038
erdos_renyi,8,3,3,Fixed QTL,5,0.8069466666666667,0.8128755555555556,0.20804
erdos_renyi,8,3,4,Ascending QTL,5,0.8809760000000001,0.8848239999999998,0.39396
erdos_renyi,8,3,4,Expectation,5,0.8801960000000001,0.8833,0.34548
erdos_renyi,8,3,4,Fixed QTL,5,0.914188,0.9157720000000001,0.47343999999999997
erdos_renyi,10,1,0,Ascending QTL,5,0.707136,0.7231799999999999,0.10244
erdos_renyi,10,1,0,Expectation,5,0.71978,0.723728,0.09344
erdos_renyi,10,1,0,Fixed QTL,5,0.717408,0.7224039999999999,0.09652000000000001
erdos_renyi,10,1,1,Ascending QTL,5,0.7895942857142858,0.8010971428571428,0.04968
erdos_renyi,10,1,1,Expectation,5,0.797677142857143,0.8027000000000001,0.037680000000000005
erdos_renyi,10,1,1,Fixed QTL,5,0.7963057142857144,0.8006942857142858,0.042960000000000005
