profile,graph_seed,gamma_end,final_mean_ratio,tail_mean_ratio,final_optimal_mass
aggressive,0,0.8,0.86,0.8432857142857143,0.32599999999999996
aggressive,0,2.0,0.8454285714285714,0.8352428571428572,0.32799999999999996
aggressive,0,4.0,0.8357142857142857,0.8261428571428573,0.32099999999999995
aggressive,1,0.8,0.8743000000000001,0.86753,0.121
aggressive,1,2.0,0.8516999999999999,0.85739,0.134
aggressive,1,4.0,0.8657999999999999,0.85039,0.11599999999999999
aggressive,2,0.8,0.747,0.75061,0.28300000000000003
aggressive,2,2.0,0.7407,0.7417900000000002,0.28800000000000003
aggressive,2,4.0,0.7323000000000001,0.7376600000000001,0.28600000000000003
balanced,0,0.8,0.8717142857142858,0.8621142857142857,0.351
balanced,0,2.0,0.858,0.8483857142857143,0.34099999999999997
balanced,0,4.0,0.8495714285714285,0.8385,0.33199999999999996
balanced,1,0.8,0.8742999999999999,0.8691500000000001,0.121
balanced,1,2.0,0.8606,0.8594200000000001,0.133
balanced,1,4.0,0.8602000000000001,0.8603100000000001,0.133
balanced,2,0.8,0.7501,0.7551400000000001,0.28500000000000003
balanced,2,2.0,0.7373000000000001,0.74642,0.28800000000000003
balanced,2,4.0,0.7378,0.74277,0.29000000000000004
conservative,0,0.8,0.8682857142857143,0.8572285714285715,0.34099999999999997
conservative,0,2.0,0.8567142857142859,0.8462,0.33099999999999996
conservative,0,4.0,0.8327142857142859,0.8282857142857143,0.31199999999999994
conservative,1,0.8,0.8725999999999999,0.86879,0.122
conservative,1,2.0,0.8557,0.8632800000000002,0.135
conservative,1,4.0,0.8681000000000001,0.86113,0.122
conservative,2,0.8,0.7473000000000001,0.75527,0.29000000000000004
conservative,2,2.0,0.7405,0.7483500000000001,0.29000000000000004
conservative,2,4.0,0.7373000000000001,0.7505599999999999,0.29100000000000004
high_momentum,0,0.8,0.8622857142857143,0.8464857142857143,0.33499999999999996
high_momentum,0,2.0,0.847857142857143,0.8345571428571429,0.32599999999999996
high_momentum,0,4.0,0.8325714285714287,0.8284857142857142,0.31899999999999995
high_momentum,1,0.8,0.8666,0.8673200000000001,0.123
high_momentum,1,2.0,0.8446000000000001,0.85662,0.136
high_momentum,1,4.0,0.8412000000000001,0.82535,0.088
high_momentum,2,0.8,0.7446,0.7509000000000001,0.293
high_momentum,2,2.0,0.7486,0.74225,0.28300000000000003
high_momentum,2,4.0,0.7219000000000001,0.74115,0.28400000000000003
old_ascending,0,0.8,0.8701428571428572,0.8593,0.344
old_ascending,0,2.0,0.8558571428571428,0.8478857142857142,0.33099999999999996
old_ascending,0,4.0,0.833857142857143,0.830557142857143,0.31499999999999995
old_ascending,1,0.8,0.8717,0.87081,0.123
old_ascending,1,2.0,0.8615,0.86147,0.131
old_ascending,1,4.0,0.8642,0.86479,0.133
old_ascending,2,0.8,0.7496,0.7546,0.28900000000000003
old_ascending,2,2.0,0.7415,0.7478200000000002,0.28900000000000003
old_ascending,2,4.0,0.7346000000000001,0.74868,0.29100000000000004
old_submission_default,0,0.8,0.8504285714285714,0.8393142857142857,0.31399999999999995
old_submission_default,0,2.0,0.8371428571428571,0.8284142857142858,0.3
old_submission_default,0,4.0,0.8098571428571429,0.8105428571428572,0.261
old_submission_default,1,0.8,0.8681999999999999,0.8713000000000001,0.123
old_submission_default,1,2.0,0.8687000000000001,0.8671700000000001,0.12
old_submission_default,1,4.0,0.8496,0.8427800000000001,0.098
old_submission_default,2,0.8,0.7441000000000001,0.7584200000000001,0.29200000000000004
old_submission_default,2,2.0,0.7424000000000001,0.7532300000000001,0.29200000000000004
old_submission_default,2,4.0,0.7418,0.74258,0.29000000000000004
slow_decay,0,0.8,0.8731428571428571,0.8655714285714288,0.36
slow_decay,0,2.0,0.8665714285714287,0.8562285714285714,0.352
slow_decay,0,4.0,0.8520000000000001,0.8450142857142857,0.33599999999999997
slow_decay,1,0.8,0.8714999999999999,0.8698599999999999,0.123
slow_decay,1,2.0,0.8606,0.86181,0.133
slow_decay,1,4.0,0.8431000000000001,0.8542099999999999,0.137
slow_decay,2,0.8,0.7514,0.7556,0.28700000000000003
slow_decay,2,2.0,0.7381,0.74762,0.29100000000000004
slow_decay,2,4.0,0.7394999999999999,0.74485,0.29100000000000004
