graph_family,n,p,seed,objective,init_id,init_seed,init_params,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,gamma_plot,gamma_raw
erdos_renyi,8,2,0,Expectation,0,20262501,"[2.834863079152674, 2.274532510449481, 1.3470427305204011, 2.773622675047124]",0.8112857142857143,0.81074,0.8144857142857144,0.2036,0.0,0.0
erdos_renyi,8,2,0,Expectation,1,20262502,"[2.668881521906221, 1.7560123976793411, 1.035076847301133, 0.13605818313757845]",0.8110285714285714,0.8107314285714284,0.8146571428571429,0.2036,0.0,0.0
erdos_renyi,8,2,0,Expectation,2,20262503,"[0.20955121882275055, 1.7771147348117822, 1.1170374762263715, 0.9901359326950538]",0.8110571428571429,0.8114342857142859,0.8150857142857143,0.20759999999999998,0.0,0.0
erdos_renyi,8,2,0,Expectation,3,20262504,"[2.9402097688325153, 2.325385077952556, 1.3539460024380696, 0.8331752715770295]",0.8112857142857143,0.8106371428571428,0.8144857142857144,0.2036,0.0,0.0
erdos_renyi,8,2,0,Expectation,4,20262505,"[2.5690836942466486, 0.5419586162094413, 2.762971809002851, 0.2545785366487556]",0.8756571428571428,0.87788,0.8819714285714285,0.37660000000000005,0.0,0.0
erdos_renyi,8,2,0,QTL gamma=0.25,0,20262501,"[2.834863079152674, 2.274532510449481, 1.3470427305204011, 2.773622675047124]",0.8101428571428572,0.8101514285714286,0.8159142857142856,0.2158,0.25,0.25
erdos_renyi,8,2,0,QTL gamma=0.25,1,20262502,"[2.668881521906221, 1.7560123976793411, 1.035076847301133, 0.13605818313757845]",0.8104000000000001,0.8102400000000001,0.8152857142857144,0.2154,0.25,0.25
erdos_renyi,8,2,0,QTL gamma=0.25,2,20262503,"[0.20955121882275055, 1.7771147348117822, 1.1170374762263715, 0.9901359326950538]",0.8745142857142857,0.8729057142857144,0.8768,0.35719999999999996,0.25,0.25
erdos_renyi,8,2,0,QTL gamma=0.25,3,20262504,"[2.9402097688325153, 2.325385077952556, 1.3539460024380696, 0.8331752715770295]",0.8106285714285715,0.8092371428571429,0.8140285714285714,0.21839999999999998,0.25,0.25
erdos_renyi,8,2,0,QTL gamma=0.25,4,20262505,"[2.5690836942466486, 0.5419586162094413, 2.762971809002851, 0.2545785366487556]",0.8764857142857144,0.8775885714285714,0.8817714285714287,0.381,0.25,0.25
erdos_renyi,8,2,0,QTL gamma=0.40,0,20262501,"[2.834863079152674, 2.274532510449481, 1.3470427305204011, 2.773622675047124]",0.8876000000000001,0.8886571428571429,0.8925714285714286,0.4206,0.4,0.4
erdos_renyi,8,2,0,QTL gamma=0.40,1,20262502,"[2.668881521906221, 1.7560123976793411, 1.035076847301133, 0.13605818313757845]",0.8097428571428571,0.8094885714285714,0.8139142857142857,0.2186,0.4,0.4
erdos_renyi,8,2,0,QTL gamma=0.40,2,20262503,"[0.20955121882275055, 1.7771147348117822, 1.1170374762263715, 0.9901359326950538]",0.8740571428571428,0.8723914285714287,0.8776285714285714,0.3596,0.4,0.4
erdos_renyi,8,2,0,QTL gamma=0.40,3,20262504,"[2.9402097688325153, 2.325385077952556, 1.3539460024380696, 0.8331752715770295]",0.8882285714285715,0.8886199999999999,0.8920571428571428,0.4196,0.4,0.4
erdos_renyi,8,2,0,QTL gamma=0.40,4,20262505,"[2.5690836942466486, 0.5419586162094413, 2.762971809002851, 0.2545785366487556]",0.8752571428571428,0.8772428571428572,0.8812857142857143,0.38439999999999996,0.4,0.4
erdos_renyi,8,2,0,QTL gamma=0.50,0,20262501,"[2.834863079152674, 2.274532510449481, 1.3470427305204011, 2.773622675047124]",0.8865999999999999,0.8885428571428571,0.8921714285714286,0.42179999999999995,0.5,0.5
erdos_renyi,8,2,0,QTL gamma=0.50,1,20262502,"[2.668881521906221, 1.7560123976793411, 1.035076847301133, 0.13605818313757845]",0.8093142857142857,0.8092142857142857,0.8142000000000001,0.21980000000000002,0.5,0.5
erdos_renyi,8,2,0,QTL gamma=0.50,2,20262503,"[0.20955121882275055, 1.7771147348117822, 1.1170374762263715, 0.9901359326950538]",0.8746857142857143,0.8721857142857143,0.8770857142857142,0.36179999999999995,0.5,0.5
erdos_renyi,8,2,0,QTL gamma=0.50,3,20262504,"[2.9402097688325153, 2.325385077952556, 1.3539460024380696, 0.8331752715770295]",0.8868,0.8884857142857143,0.892057142857143,0.4232,0.5,0.5
