graph_family,n,p,seed,gamma_plot,gamma_raw,num_init_points,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
erdos_renyi,8,2,0,0.0,0.0,5,0.8240628571428571,0.8242845714285714,0.8281371428571429,0.23900000000000002
erdos_renyi,8,2,0,0.25,0.25,5,0.8364342857142859,0.8360245714285715,0.8407600000000001,0.27756
erdos_renyi,8,2,0,0.4,0.4,5,0.8669771428571428,0.86728,0.8714914285714286,0.36056
erdos_renyi,8,2,0,0.5,0.5,5,0.8664685714285714,0.8670862857142858,0.8711714285714287,0.36268
erdos_renyi,8,2,0,0.6,0.6,5,0.8652685714285715,0.8586697142857144,0.8689257142857143,0.36204000000000003
erdos_renyi,8,2,0,0.75,0.75,5,0.8652228571428571,0.8615897142857143,0.8694971428571427,0.36568
erdos_renyi,8,2,0,1.0,1.0,5,0.7580285714285714,0.756921142857143,0.76216,0.20583999999999997
erdos_renyi,8,2,0,1.5,1.5,5,0.7542114285714285,0.7536851428571429,0.7607200000000001,0.20872000000000002
erdos_renyi,8,2,0,2.0,2.0,5,0.75084,0.7494919999999999,0.7570114285714286,0.21059999999999998
erdos_renyi,8,2,0,2.5,2.5,5,0.7472742857142858,0.746088,0.7548685714285714,0.21103999999999998
erdos_renyi,8,2,0,3.0,3.0,5,0.7440857142857144,0.7413782857142857,0.7530971428571428,0.21048
erdos_renyi,8,2,0,4.0,4.0,5,0.7299542857142857,0.7278805714285714,0.7414971428571429,0.1856
erdos_renyi,8,2,1,0.0,0.0,5,0.822328,0.8224592,0.8265119999999999,0.08
erdos_renyi,8,2,1,0.25,0.25,5,0.7847959999999998,0.7852032,0.790044,0.06812
erdos_renyi,8,2,1,0.4,0.4,5,0.812908,0.8127844,0.817696,0.07916
erdos_renyi,8,2,1,0.5,0.5,5,0.7720520000000001,0.771312,0.776108,0.059840000000000004
erdos_renyi,8,2,1,0.6,0.6,5,0.770444,0.7701516,0.775528,0.06056
erdos_renyi,8,2,1,0.75,0.75,5,0.769928,0.7693044,0.7750239999999999,0.06216000000000001
erdos_renyi,8,2,1,1.0,1.0,5,0.769708,0.7696788,0.774596,0.06544
erdos_renyi,8,2,1,1.5,1.5,5,0.762296,0.7631751999999999,0.76876,0.06552
erdos_renyi,8,2,1,2.0,2.0,5,0.7576280000000001,0.7589104,0.7654880000000001,0.06748000000000001
erdos_renyi,8,2,1,2.5,2.5,5,0.753656,0.7550276,0.761184,0.0688
erdos_renyi,8,2,1,3.0,3.0,5,0.74962,0.7516184,0.757268,0.06936
erdos_renyi,8,2,1,4.0,4.0,5,0.7447280000000001,0.7462,0.752496,0.06988000000000001
erdos_renyi,8,2,2,0.0,0.0,5,0.706724,0.7053612,0.71226,0.18792
erdos_renyi,8,2,2,0.25,0.25,5,0.7068200000000001,0.704738,0.711336,0.19604
erdos_renyi,8,2,2,0.4,0.4,5,0.6821360000000001,0.6799352000000001,0.686224,0.14944000000000002
erdos_renyi,8,2,2,0.5,0.5,5,0.680388,0.67851,0.68498,0.1516
erdos_renyi,8,2,2,0.6,0.6,5,0.677448,0.6757152000000001,0.6842119999999999,0.15404
erdos_renyi,8,2,2,0.75,0.75,5,0.7249840000000001,0.7222060000000001,0.730272,0.21492
erdos_renyi,8,2,2,1.0,1.0,5,0.722636,0.7198036,0.727888,0.21647999999999995
erdos_renyi,8,2,2,1.5,1.5,5,0.7325079999999999,0.7292708,0.739176,0.2432
erdos_renyi,8,2,2,2.0,2.0,5,0.7314120000000001,0.7276408,0.739208,0.24408000000000002
erdos_renyi,8,2,2,2.5,2.5,5,0.717244,0.714332,0.724064,0.21791999999999997
erdos_renyi,8,2,2,3.0,3.0,5,0.71696,0.7137028,0.7246,0.21791999999999997
erdos_renyi,8,2,2,4.0,4.0,5,0.716364,0.7130344,0.7239519999999999,0.21772
erdos_renyi,8,2,3,0.0,0.0,5,0.7397199999999999,0.7388551111111111,0.7438400000000001,0.09967999999999999
erdos_renyi,8,2,3,0.25,0.25,5,0.7113422222222222,0.709712,0.7162622222222222,0.0852
erdos_renyi,8,2,3,0.4,0.4,5,0.7095111111111112,0.7075368888888889,0.7141822222222223,0.08768000000000001
erdos_renyi,8,2,3,0.5,0.5,5,0.7078311111111112,0.7057688888888889,0.7130177777777778,0.08952
erdos_renyi,8,2,3,0.6,0.6,5,0.7057111111111112,0.7031728888888888,0.7099022222222222,0.08980000000000002
erdos_renyi,8,2,3,0.75,0.75,5,0.6995422222222222,0.6975911111111112,0.7069288888888889,0.09396
erdos_renyi,8,2,3,1.0,1.0,5,0.7604622222222223,0.7592711111111111,0.7654577777777778,0.131
erdos_renyi,8,2,3,1.5,1.5,5,0.7675955555555556,0.76766,0.7755466666666667,0.15444
erdos_renyi,8,2,3,2.0,2.0,5,0.7638177777777778,0.7581044444444445,0.7714977777777778,0.15552
erdos_renyi,8,2,3,2.5,2.5,5,0.7398311111111111,0.7384982222222222,0.7466755555555555,0.14884
erdos_renyi,8,2,3,3.0,3.0,5,0.7343333333333334,0.7326742222222222,0.7405911111111111,0.14868
erdos_renyi,8,2,3,4.0,4.0,5,0.7271555555555557,0.7260031111111112,0.7355066666666668,0.13832
erdos_renyi,8,2,4,0.0,0.0,5,0.876708,0.8777196,0.880968,0.34224
erdos_renyi,8,2,4,0.25,0.25,5,0.910844,0.912036,0.9158120000000001,0.42951999999999996
erdos_renyi,8,2,4,0.4,0.4,5,0.901616,0.9022848,0.905388,0.41104
