graph_family,n,p,seed,objective,init_id,init_seed,init_params,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,gamma_plot,gamma_start,gamma_end
erdos_renyi,8,2,0,QTL linear schedule to 0.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8748857142857143,0.8731942857142858,0.8778,0.3534,0.0,0.0,0.0
erdos_renyi,8,2,0,QTL linear schedule to 0.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6219714285714285,0.6222628571428571,0.6263142857142857,0.0312,0.0,0.0,0.0
erdos_renyi,8,2,0,QTL linear schedule to 0.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8885142857142857,0.8896599999999999,0.8943428571428572,0.40900000000000003,0.0,0.0,0.0
erdos_renyi,8,2,0,QTL linear schedule to 0.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6193714285714286,0.6194028571428571,0.6238285714285714,0.0234,0.0,0.0,0.0
erdos_renyi,8,2,0,QTL linear schedule to 0.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.811,0.8108542857142857,0.8157428571428572,0.2082,0.0,0.0,0.0
erdos_renyi,8,2,0,QTL linear schedule to 0.20,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8747999999999999,0.8731628571428571,0.8774285714285716,0.3564,0.2,0.0,0.2
erdos_renyi,8,2,0,QTL linear schedule to 0.20,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6234571428571429,0.6225257142857143,0.6268285714285715,0.0346,0.2,0.0,0.2
erdos_renyi,8,2,0,QTL linear schedule to 0.20,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8887714285714285,0.8894828571428572,0.8933142857142856,0.4144,0.2,0.0,0.2
erdos_renyi,8,2,0,QTL linear schedule to 0.20,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6200285714285715,0.6198342857142858,0.6239142857142858,0.021400000000000002,0.2,0.0,0.2
erdos_renyi,8,2,0,QTL linear schedule to 0.20,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8101428571428572,0.8108428571428572,0.8150571428571427,0.2162,0.2,0.0,0.2
erdos_renyi,8,2,0,QTL linear schedule to 0.40,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8742571428571428,0.8725685714285714,0.8776,0.3582,0.4,0.0,0.4
erdos_renyi,8,2,0,QTL linear schedule to 0.40,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6223142857142857,0.6205942857142858,0.6274285714285714,0.038,0.4,0.0,0.4
erdos_renyi,8,2,0,QTL linear schedule to 0.40,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8876857142857143,0.8889114285714286,0.8929999999999999,0.41979999999999995,0.4,0.0,0.4
erdos_renyi,8,2,0,QTL linear schedule to 0.40,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6187428571428571,0.6192371428571428,0.6245999999999999,0.019799999999999998,0.4,0.0,0.4
erdos_renyi,8,2,0,QTL linear schedule to 0.40,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8092857142857142,0.8096942857142857,0.8145428571428572,0.223,0.4,0.0,0.4
erdos_renyi,8,2,0,QTL linear schedule to 0.60,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8747714285714286,0.8720114285714284,0.8767714285714285,0.36180000000000007,0.6,0.0,0.6
erdos_renyi,8,2,0,QTL linear schedule to 0.60,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6216857142857143,0.6199371428571429,0.6248571428571428,0.043800000000000006,0.6,0.0,0.6
erdos_renyi,8,2,0,QTL linear schedule to 0.60,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8871714285714286,0.8884885714285715,0.8930857142857143,0.4234,0.6,0.0,0.6
erdos_renyi,8,2,0,QTL linear schedule to 0.60,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6184571428571429,0.6185028571428572,0.6243142857142858,0.0202,0.6,0.0,0.6
erdos_renyi,8,2,0,QTL linear schedule to 0.60,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.809057142857143,0.8088599999999999,0.8145142857142857,0.2262,0.6,0.0,0.6
erdos_renyi,8,2,0,QTL linear schedule to 0.80,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8743142857142858,0.87166,0.8766285714285714,0.363,0.8,0.0,0.8
erdos_renyi,8,2,0,QTL linear schedule to 0.80,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6215714285714287,0.6183028571428572,0.626257142857143,0.0542,0.8,0.0,0.8
erdos_renyi,8,2,0,QTL linear schedule to 0.80,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8864571428571429,0.8875685714285714,0.8925714285714286,0.4264,0.8,0.0,0.8
erdos_renyi,8,2,0,QTL linear schedule to 0.80,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6185428571428572,0.6181371428571428,0.6237142857142857,0.0226,0.8,0.0,0.8
erdos_renyi,8,2,0,QTL linear schedule to 0.80,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8086857142857143,0.8077,0.8143428571428571,0.2272,0.8,0.0,0.8
erdos_renyi,8,2,0,QTL linear schedule to 1.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8734571428571429,0.8711428571428572,0.8769999999999999,0.3644,1.0,0.0,1.0
erdos_renyi,8,2,0,QTL linear schedule to 1.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6207142857142858,0.6169085714285714,0.6245142857142858,0.062,1.0,0.0,1.0
erdos_renyi,8,2,0,QTL linear schedule to 1.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8852571428571429,0.8866057142857144,0.8926571428571428,0.4274,1.0,0.0,1.0
erdos_renyi,8,2,0,QTL linear schedule to 1.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6171142857142857,0.61758,0.6238285714285714,0.0224,1.0,0.0,1.0
erdos_renyi,8,2,0,QTL linear schedule to 1.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8089142857142857,0.806757142857143,0.8133142857142858,0.22820000000000001,1.0,0.0,1.0
erdos_renyi,8,2,0,QTL linear schedule to 1.20,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8733142857142857,0.8709685714285715,0.8767714285714286,0.36519999999999997,1.2,0.0,1.2
erdos_renyi,8,2,0,QTL linear schedule to 1.20,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6284285714285713,0.6222771428571428,0.6284285714285713,0.0764,1.2,0.0,1.2
erdos_renyi,8,2,0,QTL linear schedule to 1.20,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8831714285714286,0.8854599999999999,0.892457142857143,0.4282,1.2,0.0,1.2
erdos_renyi,8,2,0,QTL linear schedule to 1.20,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6176285714285713,0.6167228571428571,0.6234857142857143,0.0232,1.2,0.0,1.2
erdos_renyi,8,2,0,QTL linear schedule to 1.20,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8076857142857142,0.8056399999999998,0.8139142857142857,0.23,1.2,0.0,1.2
erdos_renyi,8,2,0,QTL linear schedule to 1.40,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8733428571428572,0.8707142857142859,0.8766285714285714,0.36539999999999995,1.4,0.0,1.4
erdos_renyi,8,2,0,QTL linear schedule to 1.40,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6371428571428571,0.6362685714285714,0.6446857142857143,0.0774,1.4,0.0,1.4
erdos_renyi,8,2,0,QTL linear schedule to 1.40,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8834000000000001,0.8849314285714286,0.8919142857142858,0.42860000000000004,1.4,0.0,1.4
erdos_renyi,8,2,0,QTL linear schedule to 1.40,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6166571428571429,0.6158,0.6242857142857142,0.023799999999999998,1.4,0.0,1.4
erdos_renyi,8,2,0,QTL linear schedule to 1.40,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8064,0.8043314285714285,0.8132857142857143,0.2304,1.4,0.0,1.4
