graph_family,n,p,seed,objective,init_id,init_seed,init_params,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,gamma_plot,gamma_raw
erdos_renyi,8,2,0,QTL gamma=0.20,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8729714285714286,0.8731685714285714,0.8771428571428572,0.36000000000000004,0.2,0.2
erdos_renyi,8,2,0,QTL gamma=0.20,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6187142857142858,0.6206371428571429,0.6276857142857144,0.0296,0.2,0.2
erdos_renyi,8,2,0,QTL gamma=0.20,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8894285714285715,0.8887600000000001,0.8926285714285715,0.41520000000000007,0.2,0.2
erdos_renyi,8,2,0,QTL gamma=0.20,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6157142857142858,0.6186057142857143,0.6236285714285713,0.0194,0.2,0.2
erdos_renyi,8,2,0,QTL gamma=0.20,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8099714285714287,0.80946,0.8165428571428571,0.21239999999999998,0.2,0.2
erdos_renyi,8,2,0,QTL gamma=0.40,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8724285714285714,0.8729914285714286,0.8774571428571429,0.3616,0.4,0.4
erdos_renyi,8,2,0,QTL gamma=0.40,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6179142857142857,0.6190257142857142,0.6260000000000001,0.039200000000000006,0.4,0.4
erdos_renyi,8,2,0,QTL gamma=0.40,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8893714285714286,0.8879428571428571,0.8923428571428572,0.41759999999999997,0.4,0.4
erdos_renyi,8,2,0,QTL gamma=0.40,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6168000000000001,0.6189657142857143,0.6239142857142858,0.0194,0.4,0.4
erdos_renyi,8,2,0,QTL gamma=0.40,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8085714285714286,0.8088085714285713,0.8148285714285713,0.21320000000000003,0.4,0.4
erdos_renyi,8,2,0,QTL gamma=0.60,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8708571428571429,0.8723285714285713,0.8768,0.3592,0.6,0.6
erdos_renyi,8,2,0,QTL gamma=0.60,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.62,0.6180742857142858,0.6272571428571428,0.045,0.6,0.6
erdos_renyi,8,2,0,QTL gamma=0.60,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8884285714285715,0.886957142857143,0.8916285714285715,0.421,0.6,0.6
