graph_family,n,p,seed,objective,init_id,init_seed,init_params,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,gamma_plot,gamma_average_requested,gamma_average_realized,gamma_start,gamma_end_exclusive,gamma_last
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=0.20,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8724857142857143,0.8730371428571428,0.8773428571428573,0.3616,0.2,0.2,0.19800000000000004,0.0,0.4,0.396
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=0.20,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6197714285714285,0.6201114285714285,0.6258571428571429,0.036599999999999994,0.2,0.2,0.19800000000000004,0.0,0.4,0.396
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=0.20,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8894857142857143,0.8880742857142858,0.8933428571428571,0.41759999999999997,0.2,0.2,0.19800000000000004,0.0,0.4,0.396
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=0.20,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6162857142857143,0.6185771428571429,0.6234857142857143,0.0206,0.2,0.2,0.19800000000000004,0.0,0.4,0.396
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=0.20,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8083999999999999,0.8090428571428572,0.8166857142857145,0.2126,0.2,0.2,0.19800000000000004,0.0,0.4,0.396
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=0.40,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8707428571428572,0.8721657142857143,0.8776285714285714,0.3634,0.4,0.4,0.3960000000000001,0.0,0.8,0.792
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=0.40,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6184571428571429,0.6169171428571428,0.6281428571428572,0.047,0.4,0.4,0.3960000000000001,0.0,0.8,0.792
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=0.40,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8866857142857143,0.8862,0.8926857142857143,0.42060000000000003,0.4,0.4,0.3960000000000001,0.0,0.8,0.792
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=0.40,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6168857142857143,0.6182685714285714,0.6228285714285714,0.0208,0.4,0.4,0.3960000000000001,0.0,0.8,0.792
erdos_renyi,8,2,0,QTL ascending schedule with average gamma=0.40,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8074571428571428,0.8071314285714285,0.8154571428571428,0.21719999999999998,0.4,0.4,0.3960000000000001,0.0,0.8,0.792
