graph_family,n,p,seed,gamma_plot,gamma_raw,num_init_points,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
erdos_renyi,8,2,0,0.0,0.0,5,0.7615371428571429,0.7624222857142857,0.7673485714285715,0.20384000000000002
erdos_renyi,8,2,0,1.0,1.0,5,0.8122857142857143,0.8123085714285715,0.8178628571428572,0.2972
erdos_renyi,8,2,0,2.0,2.0,5,0.8077028571428573,0.8081897142857143,0.8141257142857142,0.29768
erdos_renyi,8,2,0,3.0,3.0,5,0.8057828571428571,0.8041822857142857,0.8114742857142856,0.29500000000000004
erdos_renyi,8,2,0,4.0,4.0,5,0.7925828571428573,0.7813074285714287,0.7979314285714286,0.26504
erdos_renyi,8,2,0,8.0,8.0,5,0.72388,0.7225097142857143,0.7342857142857142,0.1668
erdos_renyi,8,2,0,10.0,10.0,5,0.7131142857142857,0.7130234285714285,0.7235428571428572,0.15475999999999998
erdos_renyi,8,2,0,16.0,16.0,5,0.7060457142857144,0.7081794285714286,0.7180857142857142,0.14144
erdos_renyi,8,2,0,24.0,24.0,5,0.7043085714285715,0.7067931428571429,0.7147257142857143,0.1364
erdos_renyi,8,2,0,36.0,36.0,5,0.6991257142857142,0.7013428571428572,0.7083028571428571,0.12772
erdos_renyi,8,2,0,50.0,50.0,5,0.6901257142857142,0.6919411428571428,0.6987485714285715,0.11860000000000001
erdos_renyi,8,2,1,0.0,0.0,5,0.786192,0.7873964000000001,0.791172,0.06183999999999999
erdos_renyi,8,2,1,1.0,1.0,5,0.8082880000000001,0.8100764,0.81578,0.08172
erdos_renyi,8,2,1,2.0,2.0,5,0.8084279999999999,0.8096668000000001,0.817268,0.09088
erdos_renyi,8,2,1,3.0,3.0,5,0.763648,0.7661515999999999,0.775664,0.0728
erdos_renyi,8,2,1,4.0,4.0,5,0.7625,0.7648996,0.7751880000000001,0.07216
erdos_renyi,8,2,1,8.0,8.0,5,0.724944,0.7259119999999999,0.7319760000000001,0.04424
erdos_renyi,8,2,1,10.0,10.0,5,0.718576,0.7199204,0.7257800000000001,0.04084
erdos_renyi,8,2,1,16.0,16.0,5,0.7168319999999999,0.7185232,0.724008,0.03916
erdos_renyi,8,2,1,24.0,24.0,5,0.713552,0.7148256,0.720368,0.0382
erdos_renyi,8,2,1,36.0,36.0,5,0.697872,0.6975572,0.703312,0.03232
erdos_renyi,8,2,1,50.0,50.0,5,0.688196,0.6888080000000001,0.693452,0.028159999999999998
erdos_renyi,8,2,2,0.0,0.0,5,0.677808,0.6781852,0.6857439999999999,0.18184
erdos_renyi,8,2,2,1.0,1.0,5,0.671384,0.6720032,0.679264,0.1964
erdos_renyi,8,2,2,2.0,2.0,5,0.669104,0.6695224000000001,0.676316,0.19768
erdos_renyi,8,2,2,3.0,3.0,5,0.668228,0.6688348000000002,0.675504,0.19816
erdos_renyi,8,2,2,4.0,4.0,5,0.6682,0.6687236,0.6756439999999999,0.19824
erdos_renyi,8,2,2,8.0,8.0,5,0.6684479999999999,0.6690704000000001,0.67606,0.19808
erdos_renyi,8,2,2,10.0,10.0,5,0.6680240000000001,0.6689008000000001,0.674876,0.19668
erdos_renyi,8,2,2,16.0,16.0,5,0.664964,0.6655848,0.670868,0.1858
erdos_renyi,8,2,2,24.0,24.0,5,0.65034,0.6509416,0.656224,0.1558
erdos_renyi,8,2,2,36.0,36.0,5,0.6309,0.6311812000000001,0.636752,0.12556
erdos_renyi,8,2,2,50.0,50.0,5,0.616036,0.6152408,0.6199920000000001,0.10575999999999999
erdos_renyi,8,2,3,0.0,0.0,5,0.7341288888888889,0.7344755555555557,0.7396666666666667,0.12464
erdos_renyi,8,2,3,1.0,1.0,5,0.7082711111111111,0.7081617777777778,0.7153066666666668,0.13096
erdos_renyi,8,2,3,2.0,2.0,5,0.7042933333333333,0.7047302222222223,0.7127466666666666,0.13404
erdos_renyi,8,2,3,3.0,3.0,5,0.7046666666666666,0.7044924444444444,0.7129911111111111,0.13396
erdos_renyi,8,2,3,4.0,4.0,5,0.7050088888888889,0.7045986666666666,0.7123333333333333,0.13388
erdos_renyi,8,2,3,8.0,8.0,5,0.7051911111111111,0.7050915555555555,0.7122400000000001,0.13335999999999998
erdos_renyi,8,2,3,10.0,10.0,5,0.7053288888888889,0.7059088888888889,0.7128399999999999,0.13312
erdos_renyi,8,2,3,16.0,16.0,5,0.7028622222222223,0.7019808888888888,0.7086088888888888,0.12608
erdos_renyi,8,2,3,24.0,24.0,5,0.6823733333333333,0.6804653333333334,0.6876444444444445,0.1004
erdos_renyi,8,2,3,36.0,36.0,5,0.6549111111111111,0.6529862222222222,0.6597466666666667,0.07368
erdos_renyi,8,2,3,50.0,50.0,5,0.6333866666666668,0.6339102222222223,0.6415200000000001,0.05551999999999999
erdos_renyi,8,2,4,0.0,0.0,5,0.8281560000000001,0.827736,0.833168,0.21936
erdos_renyi,8,2,4,1.0,1.0,5,0.857432,0.8585003999999999,0.8644440000000001,0.36576
erdos_renyi,8,2,4,2.0,2.0,5,0.8438839999999999,0.8442067999999999,0.853284,0.34476000000000007
erdos_renyi,8,2,4,3.0,3.0,5,0.840024,0.8409444,0.8493040000000001,0.34323999999999993
erdos_renyi,8,2,4,4.0,4.0,5,0.837144,0.8387024000000001,0.8487880000000001,0.33688
erdos_renyi,8,2,4,8.0,8.0,5,0.8351240000000001,0.8347168,0.8423679999999999,0.32136
erdos_renyi,8,2,4,10.0,10.0,5,0.821428,0.820064,0.828492,0.30216
erdos_renyi,8,2,4,16.0,16.0,5,0.7842399999999999,0.782832,0.791752,0.22688000000000003
erdos_renyi,8,2,4,24.0,24.0,5,0.765016,0.7620564,0.770128,0.19175999999999999
erdos_renyi,8,2,4,36.0,36.0,5,0.752376,0.7522184000000001,0.759924,0.16484000000000001
erdos_renyi,8,2,4,50.0,50.0,5,0.746872,0.7467252,0.752228,0.15044000000000002
