gamma_plot,mean_peak_ratio,sem_peak_ratio,mean_tail_ratio,sem_tail_ratio,mean_final_ratio,sem_final_ratio,mean_optimal_mass,gamma_average_requested,gamma_average_realized,gamma_start,gamma_end_exclusive,gamma_last
0.0,0.7634198476190476,0.02474689122071472,0.7580430882539683,0.025170028945524055,0.7575644063492064,0.025227765140939266,0.158304,0.0,0.0,0.0,0.0,0.0
1.0,0.7775214476190475,0.03199438421735885,0.762125525079365,0.03268560363352495,0.7648819301587302,0.03250666996003424,0.203544,1.0,0.9899999999999999,0.0,2.0,1.98
2.0,0.7703903492063493,0.028182257003491307,0.7563650577777777,0.02732139109161748,0.7558970031746032,0.027156161948526773,0.20527199999999998,2.0,1.9799999999999998,0.0,4.0,3.96
3.0,0.7569002793650793,0.02925360584848238,0.7426180038095238,0.02815861751653799,0.7417546158730158,0.028077179512594815,0.19171999999999997,3.0,2.97,0.0,6.0,5.9399999999999995
4.0,0.7614714412698412,0.03111205528134776,0.7487942666666667,0.02998116387239015,0.7480269206349206,0.029802721271668733,0.19295199999999998,4.0,3.9599999999999995,0.0,8.0,7.92
8.0,0.7520918603174603,0.029086290173946268,0.7415419441269842,0.028472603217541692,0.740679326984127,0.02834603072163719,0.18648,8.0,7.919999999999999,0.0,16.0,15.84
10.0,0.7510532317460318,0.028844453911298244,0.7407505028571428,0.028473694602106116,0.7397510095238096,0.02833811726363821,0.186184,10.0,9.9,0.0,20.0,19.8
16.0,0.7493755555555556,0.02844924140558209,0.7406312457142857,0.02844763686092808,0.7400415873015873,0.02853765818234261,0.18147200000000002,16.0,15.839999999999998,0.0,32.0,31.68
24.0,0.7448183619047619,0.027411327571914217,0.7363278044444443,0.027235500961747552,0.7357170285714286,0.027343882878745115,0.169896,24.0,23.76,0.0,48.0,47.519999999999996
36.0,0.7378422476190476,0.024966832185052103,0.7295055809523809,0.0248383965469206,0.7286573460317459,0.024801751497976032,0.15928,36.0,35.64000000000001,0.0,72.0,71.28
50.0,0.7307197841269841,0.02382791245808352,0.7217357257142857,0.023374525133531377,0.7202963936507937,0.023233041664686475,0.147696,50.0,49.5,0.0,100.0,99.0
