gamma_plot,mean_peak_ratio,sem_peak_ratio,mean_tail_ratio,sem_tail_ratio,mean_final_ratio,sem_final_ratio,mean_optimal_mass,gamma_average_requested,gamma_average_realized,gamma_start,gamma_end_exclusive,gamma_last,shots,steps,number_of_initializations,simulator,optimizer_learning_rate,optimizer_learning_rate_decay_power,optimizer_learning_rate_decay_offset,optimizer_momentum,optimizer_tilt_learning_rate_penalty,optimizer_gradient_clip
0.0,0.7634198476190476,0.0247468912207147,0.7580430882539683,0.025170028945524,0.7575644063492064,0.0252277651409392,0.158304,0.0,0.0,0.0,0.0,0.0,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
0.2,0.7614892825396826,0.0258737961430335,0.7537324165079365,0.0250825503578,0.754952165079365,0.0262918601949308,0.169104,0.2,0.198,0.0,0.4,0.396,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
0.4,0.7722602920634921,0.0351045370776724,0.7638475898412699,0.0355545872166824,0.7630446984126984,0.0355031906802062,0.192584,0.4,0.3960000000000001,0.0,0.8,0.792,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
0.6,0.7715988317460318,0.035073891676022,0.7617042260317459,0.035390061358656,0.7606223238095238,0.0353190270673052,0.196128,0.6,0.5940000000000001,0.0,1.2,1.188,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
0.8,0.7688282031746032,0.0338614780013355,0.7571604546031747,0.0346914537503027,0.7557609142857142,0.0348174573738343,0.194064,0.8,0.7920000000000001,0.0,1.6,1.584,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
1.0,0.7775214476190475,0.0319943842173588,0.762125525079365,0.0326856036335249,0.7648819301587302,0.0325066699600342,0.203544,1.0,0.99,0.0,2.0,1.98,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
1.2,0.7768609650793651,0.0317753915743926,0.7635688558730158,0.0321043627627873,0.7621277333333334,0.0321629244701272,0.20488,1.2,1.1880000000000002,0.0,2.4,2.376,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
1.4,0.7783197206349206,0.0333013609080119,0.7632298780952381,0.0329412397303296,0.7620798857142856,0.0328262967966916,0.2125119999999999,1.4,1.386,0.0,2.8,2.772,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
1.6,0.7729440000000001,0.0294277012625859,0.7571140038095239,0.0284384459761749,0.7562129777777777,0.0283282024981866,0.2122,1.6,1.5840000000000003,0.0,3.2,3.168,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
2.0,0.7703903492063493,0.0281822570034913,0.7563650577777777,0.0273213910916174,0.7558970031746032,0.0271561619485267,0.2052719999999999,2.0,1.98,0.0,4.0,3.96,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
3.0,0.7569002793650793,0.0292536058484823,0.7426180038095238,0.0281586175165379,0.7417546158730158,0.0280771795125948,0.1917199999999999,3.0,2.97,0.0,6.0,5.94,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
4.0,0.7614714412698412,0.0311120552813477,0.7487942666666667,0.0299811638723901,0.7480269206349206,0.0298027212716687,0.1929519999999999,4.0,3.96,0.0,8.0,7.92,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
8.0,0.7520918603174603,0.0290862901739462,0.7415419441269842,0.0284726032175416,0.740679326984127,0.0283460307216371,0.18648,8.0,7.919999999999999,0.0,16.0,15.84,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
10.0,0.7510532317460318,0.0288444539112982,0.7407505028571428,0.0284736946021061,0.7397510095238096,0.0283381172636382,0.186184,10.0,9.9,0.0,20.0,19.8,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
16.0,0.7493755555555556,0.028449241405582,0.7406312457142857,0.028447636860928,0.7400415873015873,0.0285376581823426,0.181472,16.0,15.839999999999998,0.0,32.0,31.68,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
24.0,0.7448183619047619,0.0274113275719142,0.7363278044444443,0.0272355009617475,0.7357170285714286,0.0273438828787451,0.169896,24.0,23.76,0.0,48.0,47.52,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
36.0,0.7378422476190476,0.0249668321850521,0.7295055809523809,0.0248383965469206,0.7286573460317459,0.024801751497976,0.15928,36.0,35.64000000000001,0.0,72.0,71.28,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
50.0,0.7307197841269841,0.0238279124580835,0.7217357257142857,0.0233745251335313,0.7202963936507937,0.0232330416646864,0.147696,50.0,49.5,0.0,100.0,99.0,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
