gamma_plot,mean_peak_ratio,sem_peak_ratio,mean_tail_ratio,sem_tail_ratio,mean_final_ratio,sem_final_ratio,mean_optimal_mass,gamma_average_requested,gamma_average_realized,gamma_start,gamma_end_exclusive,gamma_last,shots,steps,number_of_initializations,simulator,optimizer_learning_rate,optimizer_learning_rate_decay_power,optimizer_learning_rate_decay_offset,optimizer_momentum,optimizer_tilt_learning_rate_penalty,optimizer_gradient_clip
0.0,0.7634198476190476,0.0247468912207147,0.7580430882539683,0.025170028945524,0.7575644063492064,0.0252277651409392,0.158304,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
0.2,0.7654037206349207,0.0283698867728903,0.7577305193650794,0.027180438781172,0.7596572444444445,0.029115024448895,0.173168,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
0.4,0.7650951365079365,0.0310888817287727,0.7598470603174603,0.0316549642519015,0.759477473015873,0.0316731726262813,0.1847519999999999,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
0.6,0.7640685968253969,0.0313677091820175,0.7584823707936509,0.0317814510634445,0.7578994412698413,0.03178472129805,0.1901439999999999,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
0.8,0.7620120761904763,0.0314336894334133,0.7562619250793652,0.0318572397408948,0.7555097142857143,0.0318725363188422,0.192576,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
1.0,0.7785315047619048,0.0347611709882425,0.7722100698412698,0.0350937105104141,0.7715321650793652,0.0349444135241655,0.214408,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
1.2,0.7776869714285715,0.0348141921229295,0.7707075504761904,0.034874476024019,0.7700591873015873,0.0347454487185606,0.215936,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
1.4,0.7769558476190477,0.034674706503573,0.769868173968254,0.0347885884656144,0.7688805968253968,0.0346161193698718,0.2171999999999999,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
1.6,0.7761207365079364,0.0345217770464848,0.7688317257142858,0.0345839481913598,0.7680791492063491,0.0344548328431246,0.2176159999999999,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
2.0,0.7747480761904761,0.0339554723405885,0.7672631873015874,0.0338060643523421,0.7666824380952381,0.0337634416582636,0.213008,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
3.0,0.7649874793650794,0.0316979512747104,0.756921106031746,0.0315330754282809,0.7564699047619048,0.0315711802028297,0.2086319999999999,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
4.0,0.7619769523809523,0.0307581547764148,0.7516463390476191,0.0297689864068135,0.7530871492063492,0.030192229204176,0.20124,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
8.0,0.7393859428571428,0.0277788597051345,0.731460093968254,0.0277133647498305,0.7315174222222222,0.0278448287235698,0.1727679999999999,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
10.0,0.7331061714285714,0.0255392410117833,0.7255635034920636,0.0252154791532033,0.7252942349206349,0.025606328789466,0.165512,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
16.0,0.7226645206349206,0.0195911849349037,0.7154200634920634,0.0190664500305233,0.7149887873015872,0.0194018547739806,0.143872,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
24.0,0.7098180317460318,0.0188900339616958,0.7030164152380952,0.0185199594952206,0.703117980952381,0.0189175932658409,0.124512,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
36.0,0.6936075047619048,0.0213156197755704,0.687057175873016,0.0210276851890242,0.6870369650793651,0.0208760085564467,0.104824,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
50.0,0.6811881142857144,0.0232636643769125,0.6753250730158731,0.0233250626585278,0.6749232761904762,0.0232130344925533,0.091696,,,,,,5000,100,5,lightning.qubit,0.18,0.35,6.0,0.7,0.01,2.5
