graph_family,n,p,seed,objective,init_id,init_seed,init_params,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,gamma_plot,gamma_raw
erdos_renyi,8,2,0,Expectation,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.873,0.8733457142857143,0.8778,0.35660000000000003,0.0,0.0
erdos_renyi,8,2,0,Expectation,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6192857142857143,0.621637142857143,0.6270857142857142,0.028999999999999998,0.0,0.0
erdos_renyi,8,2,0,Expectation,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8885142857142858,0.8889285714285716,0.8933142857142856,0.4074,0.0,0.0
erdos_renyi,8,2,0,Expectation,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6153142857142857,0.6179314285714287,0.6226857142857144,0.0172,0.0,0.0
erdos_renyi,8,2,0,Expectation,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8115714285714286,0.8102685714285714,0.815857142857143,0.209,0.0,0.0
erdos_renyi,8,2,0,QTL gamma=1.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8693714285714285,0.8713371428571428,0.8757714285714285,0.3644,1.0,1.0
erdos_renyi,8,2,0,QTL gamma=1.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6154285714285714,0.6153114285714287,0.622257142857143,0.054599999999999996,1.0,1.0
erdos_renyi,8,2,0,QTL gamma=1.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8867428571428572,0.8849885714285716,0.8913428571428571,0.427,1.0,1.0
erdos_renyi,8,2,0,QTL gamma=1.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.8865999999999999,0.8849457142857142,0.8900571428571428,0.42560000000000003,1.0,1.0
erdos_renyi,8,2,0,QTL gamma=1.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8032857142857143,0.80496,0.8098857142857143,0.21439999999999998,1.0,1.0
erdos_renyi,8,2,0,QTL gamma=2.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8685714285714285,0.8695114285714286,0.8728857142857144,0.37239999999999995,2.0,2.0
erdos_renyi,8,2,0,QTL gamma=2.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6137428571428571,0.6119114285714286,0.6169142857142857,0.0446,2.0,2.0
erdos_renyi,8,2,0,QTL gamma=2.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8802000000000001,0.8806057142857142,0.8916571428571428,0.4284,2.0,2.0
erdos_renyi,8,2,0,QTL gamma=2.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.8796857142857143,0.8796542857142857,0.8831714285714287,0.42660000000000003,2.0,2.0
erdos_renyi,8,2,0,QTL gamma=2.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7963142857142858,0.7992657142857144,0.8059999999999999,0.21639999999999998,2.0,2.0
erdos_renyi,8,2,0,QTL gamma=3.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8681714285714285,0.8682942857142857,0.871142857142857,0.368,3.0,3.0
erdos_renyi,8,2,0,QTL gamma=3.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6081142857142857,0.6074714285714286,0.6094857142857142,0.0358,3.0,3.0
erdos_renyi,8,2,0,QTL gamma=3.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8773428571428571,0.8785057142857143,0.8885428571428571,0.42719999999999997,3.0,3.0
erdos_renyi,8,2,0,QTL gamma=3.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.8802857142857142,0.8700800000000001,0.8826285714285714,0.4264,3.0,3.0
erdos_renyi,8,2,0,QTL gamma=3.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.795,0.79656,0.8055714285714285,0.21760000000000002,3.0,3.0
erdos_renyi,8,2,0,QTL gamma=4.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8622000000000002,0.8602457142857143,0.8622000000000002,0.35200000000000004,4.0,4.0
erdos_renyi,8,2,0,QTL gamma=4.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6053428571428572,0.6051828571428572,0.608,0.0356,4.0,4.0
erdos_renyi,8,2,0,QTL gamma=4.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8774857142857143,0.8783542857142859,0.8902857142857145,0.4266,4.0,4.0
erdos_renyi,8,2,0,QTL gamma=4.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.8236857142857142,0.7672257142857142,0.8236857142857142,0.29419999999999996,4.0,4.0
erdos_renyi,8,2,0,QTL gamma=4.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7942,0.7955285714285715,0.8054857142857141,0.2168,4.0,4.0
erdos_renyi,8,2,0,QTL gamma=8.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.7987142857142857,0.7995057142857143,0.8033428571428571,0.2204,8.0,8.0
