,graph_family,n,p,seed,gamma_plot,gamma_raw,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
0,erdos_renyi,8,2,0,1.8,1.8,0.8011857142857143,0.8002271428571428,0.8059285714285715,0.2257
1,erdos_renyi,8,2,0,2.2,2.2,0.7998,0.7985328571428572,0.8038428571428573,0.22699999999999998
2,erdos_renyi,8,2,0,2.6,2.6,0.7984285714285715,0.7972414285714284,0.8016714285714286,0.2282
3,erdos_renyi,8,2,0,3.0,3.0,0.7976857142857143,0.7963785714285716,0.8020142857142857,0.2282
4,erdos_renyi,8,2,1,1.8,1.8,0.7443200000000001,0.723786,0.7443200000000001,0.0354
5,erdos_renyi,8,2,1,2.2,2.2,0.8193000000000001,0.798768,0.8193000000000001,0.0748
6,erdos_renyi,8,2,1,2.6,2.6,0.82555,0.81235,0.82555,0.0849
7,erdos_renyi,8,2,1,3.0,3.0,0.81495,0.800263,0.81495,0.07289999999999999
8,erdos_renyi,8,2,2,1.8,1.8,0.8142799999999999,0.8110779999999999,0.8151999999999999,0.4281
9,erdos_renyi,8,2,2,2.2,2.2,0.8139,0.810589,0.81548,0.4284
10,erdos_renyi,8,2,2,2.6,2.6,0.8135,0.810154,0.8152200000000001,0.4282
11,erdos_renyi,8,2,2,3.0,3.0,0.8127500000000001,0.809849,0.81487,0.4276
12,erdos_renyi,8,2,3,1.8,1.8,0.5719,0.5727422222222223,0.5804888888888889,0.0071
13,erdos_renyi,8,2,3,2.2,2.2,0.802611111111111,0.8051522222222223,0.8089666666666667,0.2218
14,erdos_renyi,8,2,3,2.6,2.6,0.802177777777778,0.8042077777777777,0.8079666666666667,0.2217
15,erdos_renyi,8,2,3,3.0,3.0,0.801822222222222,0.8034788888888889,0.8073111111111112,0.22010000000000002
16,erdos_renyi,8,2,4,1.8,1.8,0.88893,0.8883810000000001,0.89374,0.42260000000000003
17,erdos_renyi,8,2,4,2.2,2.2,0.8880699999999999,0.886535,0.8886,0.4227
18,erdos_renyi,8,2,4,2.6,2.6,0.88329,0.877328,0.88329,0.42110000000000003
19,erdos_renyi,8,2,4,3.0,3.0,0.81357,0.780883,0.81357,0.3317
