,gamma_plot,mean_peak_ratio,sem_peak_ratio,mean_tail_ratio,sem_tail_ratio,mean_final_ratio,sem_final_ratio,mean_optimal_mass
0,0.0,0.7373642113095238,0.05673709866100728,0.7257786458333333,0.0570208665882293,0.7288650173611111,0.05647177602534648,0.1349609375
1,0.25,0.7427988591269841,0.05713627678668818,0.7298922371031746,0.05726624475978557,0.7326187375992064,0.05598280567651867,0.14765625
2,0.33,0.7453838045634921,0.05457320702448495,0.7332032800099205,0.05500226480761175,0.7373846726190476,0.052752950475275145,0.1529296875
3,0.38,0.7415581597222223,0.0551460181003937,0.7258803943452381,0.055246814764504916,0.7382964409722221,0.0534761699413764,0.1771484375
4,0.4,0.781925533234127,0.06138625003086761,0.7668469432043651,0.06310882479604651,0.776066158234127,0.05928933324334489,0.2126953125
5,0.5,0.769645027281746,0.06603717407241835,0.7590022941468254,0.06623523264260825,0.7635599578373016,0.06389247144357528,0.204296875
6,0.6,0.7618656994047619,0.0698970442708135,0.7514573102678571,0.06995826211253918,0.7543040054563492,0.0686683573352377,0.2029296875
7,0.56,0.7669707961309524,0.06755913173721015,0.7557637028769841,0.06766492301995727,0.7595597718253968,0.06559268727843554,0.2044921875
8,0.64,0.8053741939484127,0.056537782056182824,0.793364273313492,0.05635990260161825,0.7966799975198413,0.0556776686693881,0.239453125
9,0.7,0.7983373635912698,0.054746226418858186,0.7826080109126984,0.05376262952284033,0.7914347718253969,0.05454101787863639,0.233984375
10,0.74,0.7996617683531746,0.05524059718236827,0.7883087797619048,0.054622645645792056,0.7925483630952381,0.0548509754144856,0.237109375
11,0.8,0.8002384052579365,0.05538362758633358,0.790515625,0.05507788868521997,0.793891369047619,0.055075956911151365,0.240234375
12,0.85,0.7665042162698412,0.057394090527445485,0.7549578993055555,0.056814255146864966,0.7589174107142858,0.05604864006240681,0.2212890625
13,0.9,0.7648049975198413,0.05769330990477261,0.754022476438492,0.0570803157287262,0.7581470114087302,0.056414092968310764,0.2240234375
14,1.0,0.7631023685515873,0.05767436197510543,0.7517370101686508,0.05760810736304123,0.7566254340277778,0.05661896359937874,0.223828125
15,1.1,0.7640959821428572,0.05717136584706262,0.7519235491071429,0.057375914597036774,0.7574658978174603,0.056328328144514724,0.224609375
16,1.2,0.762296626984127,0.0576397798772253,0.7513798673115079,0.0572523463031455,0.7571214657738096,0.056398984898959434,0.2248046875
17,1.25,0.7622749255952381,0.05768688030891625,0.7514715401785714,0.05700903781087082,0.7573893229166667,0.05625693478634108,0.224609375
18,1.28,0.763180183531746,0.05738505133776804,0.7523024243551587,0.056871783744430304,0.755901847718254,0.05668006278731718,0.22421875
19,1.3,0.7633795262896825,0.05727519167879023,0.7512176649305555,0.057042737319731994,0.7567509920634921,0.05629770448317327,0.22421875
20,1.4,0.7616266741071429,0.05770816561719205,0.7494561631944444,0.05738880216139174,0.7521673487103174,0.05794373199396579,0.2236328125
21,1.5,0.7624029637896825,0.05775232405058552,0.749411892361111,0.057293084814328224,0.7518585689484126,0.05785532325688919,0.22265625
22,1.8,0.7321165054563492,0.04496221879811188,0.720187996031746,0.04545190154586394,0.7231572420634921,0.045272712076015825,0.1705078125
23,2.2,0.7445275297619047,0.049458060508695986,0.727054470486111,0.047120979954345235,0.7365445188492064,0.05105711653762057,0.21015625
24,2.6,0.7786210317460317,0.025601603783199638,0.7682398933531746,0.025283626973198758,0.7730490451388888,0.026328112210272977,0.2171875
25,3.0,0.7832214161706349,0.02487878632742224,0.7688234126984127,0.02528256988056494,0.7802827380952382,0.024591630028028506,0.2447265625
26,4.0,0.7796279761904762,0.021535613045425214,0.7663091517857143,0.02284162561144881,0.7722423735119047,0.024118798525722768,0.21796875
27,5.0,0.7747739955357142,0.024138810848152746,0.7616909412202382,0.02498439058892726,0.7648995535714286,0.026756350816740115,0.2169921875
28,6.0,0.7680791170634921,0.02409025582886764,0.7517424045138889,0.02401816546988029,0.7599569072420634,0.024912494853014302,0.211328125
29,7.0,0.7514124503968254,0.026793161774872336,0.7344724702380953,0.029542817572484933,0.7428410218253968,0.026413073206556434,0.1947265625
30,8.0,0.7302244543650793,0.03819186972906748,0.7159549541170636,0.0394234513045292,0.7218985615079365,0.03741188407644842,0.18046875
31,10.0,0.7103754340277778,0.038947612596702444,0.6956378038194445,0.040258495470341944,0.7019053819444444,0.04069232091762621,0.15625
32,12.0,0.6992190600198412,0.0390289751829716,0.6842389632936507,0.04114158119653556,0.6913371155753969,0.04141488262983654,0.1451171875
33,14.0,0.6966638764880952,0.03785274239550756,0.6807183159722222,0.04058468049674156,0.6868960813492063,0.040444679563583726,0.141015625
34,16.0,0.6914217509920635,0.03767606323863212,0.6763796812996032,0.03984862144586695,0.6816753472222222,0.03952084662381114,0.1341796875
35,18.0,0.6856767733134921,0.037706819963687306,0.6714108382936508,0.039194440490505376,0.675835193452381,0.03912300877380672,0.1275390625
36,24.0,0.6740274677579365,0.036398239969325646,0.6594296254960318,0.037201719976799386,0.6638160342261905,0.0369853938686346,0.11328125
37,32.0,0.6568390376984127,0.03777868543852106,0.6454032738095238,0.03671895632734221,0.6495824032738096,0.03666470804332592,0.0921875
