,graph_family,n,p,seed,gamma_plot,gamma_raw,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
0,erdos_renyi,8,2,0,1.8,1.8,0.8087332589285714,0.8018275669642858,0.8122209821428571,0.2265625
1,erdos_renyi,8,2,0,2.2,2.2,0.8039899553571429,0.8,0.8131975446428571,0.2265625
2,erdos_renyi,8,2,0,2.6,2.6,0.8076171875,0.7998604910714285,0.8129185267857143,0.2275390625
3,erdos_renyi,8,2,1,1.8,1.8,0.65458984375,0.660615234375,0.67548828125,0.015625
4,erdos_renyi,8,2,1,2.2,2.2,0.6533203125,0.660498046875,0.6736328125,0.015625
5,erdos_renyi,8,2,1,2.6,2.6,0.6849609375,0.6799414062499999,0.687890625,0.0263671875
6,erdos_renyi,8,2,2,1.8,1.8,0.821875,0.8160058593749999,0.825,0.447265625
7,erdos_renyi,8,2,2,2.2,2.2,0.82099609375,0.8158984375000001,0.82509765625,0.4453125
8,erdos_renyi,8,2,2,2.6,2.6,0.82119140625,0.8153710937499999,0.82451171875,0.4453125
9,erdos_renyi,8,2,3,1.8,1.8,0.5861545138888888,0.5747178819444443,0.5861545138888888,0.0078125
10,erdos_renyi,8,2,3,2.2,2.2,0.5773654513888888,0.5740125868055556,0.5836588541666666,0.0078125
11,erdos_renyi,8,2,3,2.6,2.6,0.8116319444444444,0.8023546006944444,0.8116319444444444,0.2314453125
12,erdos_renyi,8,2,4,1.8,1.8,0.74443359375,0.7477734375,0.76171875,0.1552734375
13,erdos_renyi,8,2,4,2.2,2.2,0.82705078125,0.7848632812499999,0.82705078125,0.35546875
14,erdos_renyi,8,2,4,2.6,2.6,0.73984375,0.7436718750000001,0.75615234375,0.1552734375
