,graph_family,n,p,seed,gamma_plot,gamma_raw,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
0,erdos_renyi,8,2,0,0.0,0.0,0.6106857142857143,0.6174885714285715,0.6221142857142857,0.0214
1,erdos_renyi,8,2,0,0.25,0.25,0.6135428571428572,0.6178171428571428,0.6226285714285714,0.023200000000000002
2,erdos_renyi,8,2,0,0.33,0.33,0.6130857142857143,0.6174857142857143,0.6217142857142858,0.0244
3,erdos_renyi,8,2,0,0.38,0.38,0.6116,0.6162485714285714,0.6197999999999999,0.0222
4,erdos_renyi,8,2,0,0.4,0.4,0.6115714285714287,0.6161514285714287,0.6216,0.021799999999999996
5,erdos_renyi,8,2,0,0.5,0.5,0.6067142857142857,0.6069942857142856,0.6094285714285714,0.018799999999999997
6,erdos_renyi,8,2,0,0.56,0.56,0.5965999999999999,0.5970257142857143,0.5992285714285714,0.019200000000000002
7,erdos_renyi,8,2,0,0.6,0.6,0.5811714285714287,0.5859885714285714,0.5916571428571429,0.0182
8,erdos_renyi,8,2,0,0.64,0.64,0.5888,0.5868114285714287,0.5920857142857143,0.0242
9,erdos_renyi,8,2,0,0.7,0.7,0.8052285714285715,0.80776,0.8124,0.22399999999999998
10,erdos_renyi,8,2,0,0.74,0.74,0.8066285714285714,0.8080085714285714,0.8127428571428571,0.22440000000000002
11,erdos_renyi,8,2,0,0.8,0.8,0.8059142857142858,0.8074628571428573,0.8128857142857143,0.22500000000000003
12,erdos_renyi,8,2,0,0.85,0.85,0.8060857142857144,0.8072485714285713,0.8127714285714286,0.2252
13,erdos_renyi,8,2,0,0.9,0.9,0.8053142857142858,0.8068571428571429,0.8118571428571428,0.2252
14,erdos_renyi,8,2,0,1.0,1.0,0.8048571428571429,0.8063457142857142,0.8112285714285713,0.22619999999999998
15,erdos_renyi,8,2,0,1.1,1.1,0.8039714285714287,0.8057457142857143,0.8110571428571429,0.22640000000000005
