	gamma_plot	mean_peak_ratio	sem_peak_ratio	mean_tail_ratio	sem_tail_ratio	mean_final_ratio	sem_final_ratio	mean_optimal_mass
0	0.00	0.6273	0.0	0.6176	0.0	0.6192	0.0	0.0266
1	0.25	0.6244	0.0	0.6197	0.0	0.6181	0.0	0.0293
2	0.50	0.6264	0.0	0.6201	0.0	0.6229	0.0	0.0342
3	0.75	0.6268	0.0	0.6237	0.0	0.6236	0.0	0.0432
4	1.00	0.7017	0.0	0.6792	0.0	0.7017	0.0	0.1250
5	1.25	0.8102	0.0	0.8030	0.0	0.8019	0.0	0.2219
6	1.50	0.8085	0.0	0.8024	0.0	0.8003	0.0	0.2224
7	2.00	0.8066	0.0	0.7991	0.0	0.7982	0.0	0.2236
8	3.00	0.8052	0.0	0.7950	0.0	0.7940	0.0	0.2241
9	4.00	0.8054	0.0	0.7931	0.0	0.7925	0.0	0.2258
10	5.00	0.8043	0.0	0.7919	0.0	0.7914	0.0	0.2278
11	6.00	0.8021	0.0	0.7908	0.0	0.7903	0.0	0.2312
12	7.00	0.8013	0.0	0.7913	0.0	0.7909	0.0	0.2419
13	8.00	0.8006	0.0	0.7924	0.0	0.7926	0.0	0.2451
14	9.00	0.8006	0.0	0.7945	0.0	0.7948	0.0	0.2539
15	10.00	0.8027	0.0	0.7974	0.0	0.7989	0.0	0.2607
16	12.00	0.8040	0.0	0.7981	0.0	0.7992	0.0	0.2632
17	14.00	0.8043	0.0	0.7978	0.0	0.7994	0.0	0.2629
18	16.00	0.8038	0.0	0.7987	0.0	0.7997	0.0	0.2654
19	18.00	0.8029	0.0	0.7964	0.0	0.7970	0.0	0.2607
20	20.00	0.7998	0.0	0.7925	0.0	0.7931	0.0	0.2522
21	22.00	0.7972	0.0	0.7904	0.0	0.7894	0.0	0.2468
22	24.00	0.7943	0.0	0.7874	0.0	0.7880	0.0	0.2446
23	26.00	0.7897	0.0	0.7832	0.0	0.7839	0.0	0.2412
24	28.00	0.7853	0.0	0.7799	0.0	0.7819	0.0	0.2390
25	30.00	0.7793	0.0	0.7750	0.0	0.7784	0.0	0.2356
