,graph_family,n,p,seed,gamma_plot,gamma_start,gamma_end,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
0,erdos_renyi,8,2,0,0.0,0.0,0.0,0.6201171875,0.6159179687499999,0.6284877232142857,0.02734375
1,erdos_renyi,8,2,0,0.25,0.0,0.25,0.7211216517857143,0.6822963169642857,0.7211216517857143,0.125
2,erdos_renyi,8,2,0,0.33,0.0,0.33,0.8003627232142857,0.7587751116071428,0.8003627232142857,0.212890625
3,erdos_renyi,8,2,0,0.4,0.0,0.4,0.8058035714285714,0.7992885044642858,0.8194754464285714,0.212890625
4,erdos_renyi,8,2,0,0.5,0.0,0.5,0.8065011160714286,0.81064453125,0.8180803571428571,0.2138671875
5,erdos_renyi,8,2,0,0.56,0.0,0.56,0.8078962053571429,0.8107840401785713,0.8184988839285714,0.21484375
6,erdos_renyi,8,2,0,0.64,0.0,0.64,0.8065011160714286,0.8102260044642857,0.8193359375,0.2138671875
7,erdos_renyi,8,2,0,0.7,0.0,0.7,0.8056640625,0.8102818080357144,0.8207310267857143,0.212890625
8,erdos_renyi,8,2,0,0.8,0.0,0.8,0.8051060267857143,0.8095703125,0.8193359375,0.2138671875
9,erdos_renyi,8,2,0,0.9,0.0,0.9,0.8039899553571429,0.8083844866071429,0.8182198660714286,0.2158203125
10,erdos_renyi,8,2,0,1.0,0.0,1.0,0.8058035714285714,0.8076032366071428,0.8161272321428571,0.21875
11,erdos_renyi,8,2,0,1.1,0.0,1.1,0.8046875,0.8064592633928571,0.8173828125,0.21875
12,erdos_renyi,8,2,0,1.2,0.0,1.2,0.8034319196428571,0.8056780133928572,0.8194754464285714,0.21875
13,erdos_renyi,8,2,0,1.25,0.0,1.25,0.8039899553571429,0.8053431919642857,0.8165457589285714,0.220703125
14,erdos_renyi,8,2,0,1.28,0.0,1.28,0.8034319196428571,0.8050362723214286,0.8180803571428571,0.2216796875
15,erdos_renyi,8,2,0,1.3,0.0,1.3,0.8037109375,0.8051618303571427,0.8166852678571429,0.2216796875
16,erdos_renyi,8,2,0,1.4,0.0,1.4,0.8032924107142857,0.8039760044642857,0.8191964285714286,0.220703125
17,erdos_renyi,8,2,0,1.5,0.0,1.5,0.8028738839285714,0.802734375,0.8203125,0.22265625
18,erdos_renyi,8,2,0,2.0,0.0,2.0,0.8051060267857143,0.8005998883928571,0.8175223214285714,0.224609375
19,erdos_renyi,8,2,0,3.0,0.0,3.0,0.8020368303571429,0.7981166294642857,0.8116629464285714,0.2236328125
20,erdos_renyi,8,2,0,4.0,0.0,4.0,0.7979910714285714,0.7952985491071428,0.8088727678571429,0.2255859375
21,erdos_renyi,8,2,0,5.0,0.0,5.0,0.7972935267857143,0.7943359375000001,0.8081752232142857,0.23046875
22,erdos_renyi,8,2,0,6.0,0.0,6.0,0.7967354910714286,0.7936244419642857,0.806640625,0.236328125
23,erdos_renyi,8,2,0,7.0,0.0,7.0,0.7992466517857143,0.7940150669642857,0.8065011160714286,0.2431640625
24,erdos_renyi,8,2,0,8.0,0.0,8.0,0.798828125,0.7934849330357142,0.8058035714285714,0.23828125
25,erdos_renyi,8,2,0,10.0,0.0,10.0,0.7975725446428571,0.7925641741071429,0.8028738839285714,0.2392578125
26,erdos_renyi,8,2,0,12.0,0.0,12.0,0.7946428571428571,0.78994140625,0.7984095982142857,0.240234375
27,erdos_renyi,8,2,0,14.0,0.0,14.0,0.7894810267857143,0.7860491071428571,0.7982700892857143,0.23828125
28,erdos_renyi,8,2,0,16.0,0.0,16.0,0.7834821428571429,0.7802455357142857,0.7882254464285714,0.2333984375
29,erdos_renyi,8,2,0,18.0,0.0,18.0,0.7719029017857143,0.7688197544642857,0.7820870535714286,0.2236328125
30,erdos_renyi,8,2,0,24.0,0.0,24.0,0.7493024553571429,0.7390345982142857,0.7533482142857143,0.1943359375
31,erdos_renyi,8,2,0,32.0,0.0,32.0,0.6368582589285714,0.6211216517857142,0.6368582589285714,0.0732421875
32,erdos_renyi,8,2,0,45.0,0.0,45.0,0.5905412946428571,0.5833984375,0.5920758928571429,0.0400390625
33,erdos_renyi,8,2,0,55.0,0.0,55.0,0.5747767857142857,0.5742745535714286,0.5927734375,0.0302734375
34,erdos_renyi,8,2,0,64.0,0.0,64.0,0.5756138392857143,0.5745954241071429,0.5920758928571429,0.0302734375
35,erdos_renyi,8,2,1,0.0,0.0,0.0,0.87548828125,0.873974609375,0.8828125,0.099609375
36,erdos_renyi,8,2,1,0.25,0.0,0.25,0.87138671875,0.87349609375,0.88388671875,0.111328125
37,erdos_renyi,8,2,1,0.33,0.0,0.33,0.87060546875,0.8734082031250001,0.884375,0.111328125
38,erdos_renyi,8,2,1,0.4,0.0,0.4,0.87099609375,0.8729687500000001,0.8833984375,0.11328125
39,erdos_renyi,8,2,1,0.5,0.0,0.5,0.87099609375,0.87220703125,0.88310546875,0.115234375
40,erdos_renyi,8,2,1,0.56,0.0,0.56,0.86904296875,0.872080078125,0.88369140625,0.115234375
41,erdos_renyi,8,2,1,0.64,0.0,0.64,0.87001953125,0.8716796875,0.88203125,0.115234375
42,erdos_renyi,8,2,1,0.7,0.0,0.7,0.8712890625,0.8719824218750001,0.8818359375,0.115234375
