,graph_family,n,p,seed,gamma_plot,gamma_start,gamma_end,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
0,erdos_renyi,8,2,0,0.0,0.0,0.0,0.6158285714285714,0.6171385714285713,0.6229571428571428,0.023399999999999997
1,erdos_renyi,8,2,0,0.25,0.0,0.25,0.6163571428571429,0.6176885714285715,0.6216571428571429,0.0268
2,erdos_renyi,8,2,0,0.33,0.0,0.33,0.6169571428571429,0.61767,0.6210142857142856,0.028199999999999996
3,erdos_renyi,8,2,0,0.38,0.0,0.38,0.6168142857142858,0.6178057142857143,0.6215,0.029400000000000003
4,erdos_renyi,8,2,0,0.4,0.0,0.4,0.6169285714285714,0.61812,0.622042857142857,0.028900000000000002
5,erdos_renyi,8,2,0,0.5,0.0,0.5,0.6198857142857143,0.6203285714285715,0.6225428571428572,0.0303
6,erdos_renyi,8,2,0,0.56,0.0,0.56,0.6225857142857143,0.6223371428571428,0.6247999999999999,0.0353
7,erdos_renyi,8,2,0,0.6,0.0,0.6,0.6262428571428572,0.62411,0.6270571428571429,0.039299999999999995
8,erdos_renyi,8,2,0,0.64,0.0,0.64,0.6339142857142858,0.62829,0.6339142857142858,0.0457
9,erdos_renyi,8,2,0,0.7,0.0,0.7,0.6425714285714286,0.6337542857142856,0.6425714285714286,0.0538
10,erdos_renyi,8,2,0,0.74,0.0,0.74,0.6503,0.6398,0.6503,0.060000000000000005
11,erdos_renyi,8,2,0,0.8,0.0,0.8,0.6874857142857141,0.6655642857142856,0.6874857142857141,0.0998
12,erdos_renyi,8,2,0,0.85,0.0,0.85,0.7316142857142857,0.6946142857142857,0.7316142857142857,0.15710000000000002
13,erdos_renyi,8,2,0,0.9,0.0,0.9,0.7676000000000001,0.7262457142857143,0.7676000000000001,0.1988
14,erdos_renyi,8,2,0,1.0,0.0,1.0,0.8012142857142858,0.7863742857142857,0.8012142857142858,0.22179999999999997
15,erdos_renyi,8,2,0,1.1,0.0,1.1,0.8033571428571429,0.79656,0.8033571428571429,0.22220000000000004
16,erdos_renyi,8,2,0,1.2,0.0,1.2,0.8026285714285715,0.8021100000000001,0.8037,0.22249999999999998
17,erdos_renyi,8,2,0,1.25,0.0,1.25,0.8022857142857143,0.8027757142857143,0.8045142857142856,0.22279999999999997
18,erdos_renyi,8,2,0,1.28,0.0,1.28,0.8019714285714287,0.8025100000000001,0.8044142857142857,0.2232
19,erdos_renyi,8,2,0,1.3,0.0,1.3,0.8021428571428572,0.8025085714285716,0.8045142857142858,0.2231
20,erdos_renyi,8,2,0,1.4,0.0,1.4,0.8011428571428573,0.8017214285714287,0.8046714285714288,0.2228
