,graph_family,n,p,seed,gamma_plot,gamma_start,gamma_end,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
0,erdos_renyi,8,2,0,1.8,0.0,1.8,0.7995142857142857,0.79926,0.8031714285714286,0.2255
1,erdos_renyi,8,2,0,2.2,0.0,2.2,0.797657142857143,0.7969657142857143,0.8022142857142857,0.227
2,erdos_renyi,8,2,0,2.6,0.0,2.6,0.7963714285714286,0.7954671428571428,0.800957142857143,0.2255
3,erdos_renyi,8,2,1,1.8,0.0,1.8,0.86183,0.862766,0.8656799999999999,0.1293
4,erdos_renyi,8,2,1,2.2,0.0,2.2,0.85595,0.8564019999999999,0.85885,0.1306
5,erdos_renyi,8,2,1,2.6,0.0,2.6,0.8409800000000001,0.8399560000000001,0.84383,0.1266
6,erdos_renyi,8,2,2,1.8,0.0,1.8,0.8143100000000001,0.811411,0.8191199999999998,0.428
7,erdos_renyi,8,2,2,2.2,0.0,2.2,0.81371,0.810853,0.81878,0.4283
8,erdos_renyi,8,2,2,2.6,0.0,2.6,0.8135300000000001,0.8104189999999999,0.8186699999999998,0.4284
9,erdos_renyi,8,2,3,1.8,0.0,1.8,0.5728333333333333,0.5733144444444445,0.5825222222222222,0.0071
10,erdos_renyi,8,2,3,2.2,0.0,2.2,0.5722222222222223,0.5729533333333332,0.5823111111111111,0.007600000000000001
11,erdos_renyi,8,2,3,2.6,0.0,2.6,0.5712333333333333,0.57262,0.5813444444444443,0.0078000000000000005
12,erdos_renyi,8,2,4,1.8,0.0,1.8,0.8891300000000001,0.8888320000000001,0.8997399999999999,0.4288
13,erdos_renyi,8,2,4,2.2,0.0,2.2,0.88738,0.8861099999999998,0.8977599999999999,0.43240000000000006
14,erdos_renyi,8,2,4,2.6,0.0,2.6,0.88558,0.8838699999999999,0.8953700000000001,0.43090000000000006
