graph_family,n,p,seed,objective,init_id,init_seed,init_params,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,gamma_plot,gamma_raw
erdos_renyi,8,2,0,Expectation,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.754857142857143,0.7254285714285714,0.7671428571428571,0.118,0.0,0.0
erdos_renyi,8,2,0,Expectation,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.5842857142857143,0.526,0.5842857142857143,0.026000000000000002,0.0,0.0
erdos_renyi,8,2,1,Expectation,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.6846,0.6546,0.6846,0.012,0.0,0.0
erdos_renyi,8,2,1,Expectation,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6654,0.6530666666666667,0.672,0.006,0.0,0.0
erdos_renyi,8,2,2,Expectation,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.6938,0.6326,0.6938,0.134,0.0,0.0
erdos_renyi,8,2,2,Expectation,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.5138,0.5006,0.5286000000000001,0.024,0.0,0.0
erdos_renyi,8,2,3,Expectation,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.6888888888888889,0.6436296296296297,0.6888888888888889,0.07,0.0,0.0
erdos_renyi,8,2,3,Expectation,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.5433333333333334,0.5242222222222223,0.5471111111111111,0.006,0.0,0.0
erdos_renyi,8,2,4,Expectation,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.7290000000000001,0.7103333333333334,0.7290000000000001,0.07600000000000001,0.0,0.0
erdos_renyi,8,2,4,Expectation,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6874,0.6764000000000001,0.6874,0.024,0.0,0.0
